Tungsten Fluoride (WF)	F1W1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.051	386.518	386.518	INFINITE
100	29.135	217.762	279.175	-6.141	387.322	375.025	-195.893
200	30.708	238.278	254.142	-3.173	386.818	362.882	-94.775
250	32.340	245.300	251.691	-1.598	386.485	356.937	-74.578
298.15	34.026	251.141	251.141	0.	386.183	351.274	-61.542
300	34.090	251.351	251.141	0.063	386.172	351.057	-61.125
350	35.728	256.732	251.563	1.809	385.900	345.227	-51.522
400	37.157	261.598	252.518	3.632	385.668	339.433	-44.325
450	38.353	266.046	253.777	5.521	385.472	333.665	-38.731
500	39.326	270.139	255.212	7.464	385.303	327.918	-34.257
600	40.693	277.441	258.323	11.471	385.015	316.469	-27.551
700	41.464	283.778	261.517	15.583	384.751	305.066	-22.764
800	41.824	289.342	264.655	19.750	384.468	293.701	-19.177
900	41.920	294.275	267.677	23.939	384.141	282.375	-16.389
1000	41.854	298.690	270.561	28.128	383.752	271.088	-14.160
1100	41.697	302.672	273.303	32.306	383.291	259.843	-12.339
1200	41.493	306.292	275.903	36.466	382.753	248.643	-10.823
1300	41.271	309.604	278.370	40.604	382.137	237.492	-9.543
1400	41.049	312.654	280.711	44.720	381.441	226.391	-8.447
1500	40.835	315.479	282.936	48.815	380.668	215.343	-7.499
1600	40.635	318.108	285.053	52.888	379.817	204.348	-6.671
1700	40.451	320.566	287.071	56.942	378.891	193.409	-5.943
1800	40.284	322.873	288.996	60.979	377.893	182.527	-5.297
1900	40.133	325.047	290.837	64.999	376.826	171.702	-4.720
2000	39.998	327.102	292.599	69.006	375.691	160.935	-4.203
2100	39.877	329.051	294.289	72.999	374.491	150.227	-3.737
2200	39.769	330.903	295.912	76.982	373.229	139.577	-3.314
2300	39.674	332.669	297.472	80.954	371.909	128.986	-2.929
2400	39.589	334.356	298.974	84.917	370.532	118.453	-2.578
2500	39.514	335.970	300.422	88.872	369.101	107.979	-2.256
2600	39.449	337.519	301.819	92.820	367.623	97.563	-1.960
2700	39.391	339.006	303.169	96.762	366.072	87.206	-1.687
2800	39.340	340.438	304.474	100.698	364.416	76.907	-1.435
2900	39.295	341.818	305.738	104.630	362.618	66.670	-1.201
3000	39.257	343.149	306.963	108.558	360.654	56.498	-0.984
3100	39.223	344.436	308.152	112.481	358.480	46.395	-0.782
3200	39.195	345.681	309.305	116.402	356.068	36.365	-0.594
3300	39.170	346.886	310.426	120.321	353.393	26.415	-0.418
3400	39.149	348.055	311.515	124.236	350.421	16.550	-0.254
3500	39.132	349.190	312.576	128.151	347.089	6.778	-0.101
3600	39.118	350.292	313.608	132.063	343.301	-2.892	0.042
3700	39.107	351.364	314.614	135.974	304.192	-12.260	0.173
3800	39.098	352.407	315.595	139.885	302.780	-20.794	0.286
3900	39.092	353.422	316.552	143.794	301.385	-29.290	0.392
4000	39.088	354.412	317.486	147.703	300.007	-37.752	0.493
4100	39.086	355.377	318.399	151.612	298.645	-46.179	0.588
4200	39.086	356.319	319.290	155.520	297.300	-54.573	0.679
4300	39.088	357.239	320.162	159.429	295.971	-62.935	0.765
4400	39.091	358.137	321.015	163.338	294.659	-71.267	0.846
4500	39.095	359.016	321.850	167.247	293.364	-79.568	0.924
4600	39.101	359.875	322.667	171.157	292.085	-87.842	0.997
4700	39.108	360.716	323.468	175.067	290.822	-96.087	1.068
4800	39.116	361.540	324.252	178.979	289.574	-104.306	1.135
4900	39.125	362.346	325.022	182.891	288.343	-112.499	1.199
5000	39.135	363.137	325.776	186.804	287.126	-120.667	1.261
5100	39.146	363.912	326.516	190.718	285.925	-128.811	1.319
5200	39.158	364.672	327.243	194.633	284.738	-136.932	1.375
5300	39.170	365.418	327.956	198.549	283.565	-145.030	1.429
5400	39.183	366.150	328.656	202.467	282.407	-153.105	1.481
5500	39.197	366.869	329.345	206.386	281.262	-161.160	1.531
5600	39.212	367.576	330.021	210.306	280.131	-169.194	1.578
5700	39.227	368.270	330.686	214.228	279.013	-177.208	1.624
5800	39.242	368.952	331.340	218.152	277.908	-185.202	1.668
5900	39.259	369.623	331.983	222.077	276.815	-193.177	1.710
6000	39.275	370.283	332.616	226.003	275.735	-201.134	1.751
