Molybdenum Fluoride (MoF2)	F2Mo1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-13.505	-162.853	-162.853	INFINITE
100	41.502	217.787	318.908	-10.112	-162.858	-166.897	87.178
200	52.007	250.046	277.031	-5.397	-162.914	-170.897	44.634
250	55.223	262.022	272.864	-2.711	-162.848	-172.900	36.125
298.15	57.221	271.932	271.932	0.	-162.758	-174.844	30.632
300	57.282	272.286	271.933	0.106	-162.754	-174.919	30.456
350	58.594	281.222	272.636	3.005	-162.657	-176.954	26.409
400	59.454	289.106	274.212	5.958	-162.577	-179.002	23.375
450	60.042	296.145	276.265	8.946	-162.521	-181.059	21.017
500	60.460	302.494	278.575	11.959	-162.490	-183.121	19.131
600	61.005	313.569	283.511	18.035	-162.504	-187.247	16.301
700	61.337	323.000	288.496	24.153	-162.610	-191.364	14.280
800	61.557	331.206	293.333	30.298	-162.796	-195.460	12.762
900	61.711	338.466	297.952	36.462	-163.052	-199.528	11.580
1000	61.824	344.974	302.334	42.639	-163.378	-203.564	10.633
1100	61.909	350.870	306.483	48.826	-163.774	-207.564	9.856
1200	61.976	356.260	310.410	55.021	-164.244	-211.525	9.207
1300	62.028	361.223	314.130	61.221	-164.794	-215.444	8.657
1400	62.071	365.821	317.660	67.426	-165.429	-219.316	8.183
1500	62.105	370.105	321.015	73.635	-166.156	-223.141	7.770
1600	62.134	374.114	324.210	79.847	-166.980	-226.913	7.408
1700	62.158	377.882	327.257	86.061	-167.906	-230.631	7.086
1800	62.178	381.435	330.169	92.278	-168.940	-234.292	6.799
1900	62.196	384.797	332.957	98.497	-170.088	-237.892	6.540
2000	62.211	387.988	335.629	104.717	-171.355	-241.428	6.305
2100	62.224	391.024	338.195	110.939	-172.747	-244.898	6.092
2200	62.235	393.918	340.663	117.162	-174.269	-248.299	5.895
2300	62.245	396.685	343.039	123.386	-175.928	-251.627	5.715
2400	62.254	399.335	345.330	129.611	-177.729	-254.880	5.547
2500	62.262	401.876	347.541	135.837	-179.682	-258.055	5.392
2600	62.269	404.318	349.678	142.063	-181.803	-261.149	5.247
2700	62.275	406.668	351.746	148.291	-184.129	-264.157	5.110
2800	62.281	408.933	353.748	154.518	-186.720	-267.075	4.982
2900	62.286	411.119	355.689	160.747	-225.538	-269.845	4.860
3000	62.290	413.230	357.572	166.975	-226.856	-271.350	4.725
3100	62.294	415.273	359.401	173.205	-228.147	-272.812	4.597
3200	62.298	417.251	361.178	179.434	-229.409	-274.232	4.476
3300	62.302	419.168	362.906	185.664	-230.640	-275.614	4.363
3400	62.305	421.028	364.588	191.895	-231.840	-276.959	4.255
3500	62.308	422.834	366.227	198.125	-233.007	-278.269	4.153
3600	62.310	424.589	367.824	204.356	-234.140	-279.546	4.056
3700	62.313	426.297	369.381	210.587	-235.239	-280.792	3.964
3800	62.315	427.958	370.901	216.819	-236.304	-282.009	3.876
3900	62.317	429.577	372.385	223.050	-237.334	-283.198	3.793
4000	62.319	431.155	373.834	229.282	-238.330	-284.361	3.713
4100	62.321	432.694	375.251	235.514	-239.292	-285.500	3.637
4200	62.323	434.195	376.637	241.747	-240.220	-286.615	3.565
4300	62.324	435.662	377.992	247.979	-241.115	-287.710	3.495
4400	62.326	437.095	379.319	254.211	-241.977	-288.783	3.428
4500	62.327	438.495	380.619	260.444	-242.806	-289.837	3.364
4600	62.329	439.865	381.892	266.677	-243.604	-290.874	3.303
4700	62.330	441.206	383.140	272.910	-244.371	-291.893	3.244
4800	62.331	442.518	384.363	279.143	-245.108	-292.896	3.187
4900	62.332	443.803	385.563	285.376	-245.815	-293.885	3.133
5000	62.333	445.063	386.741	291.609	-837.878	-289.127	3.020
5100	62.334	446.297	387.896	297.843	-840.208	-278.130	2.849
5200	62.335	447.507	389.031	304.076	-842.657	-267.084	2.683
5300	62.336	448.695	390.146	310.310	-845.224	-255.991	2.523
5400	62.337	449.860	391.241	316.543	-847.907	-244.849	2.368
5500	62.337	451.004	392.317	322.777	-850.706	-233.656	2.219
5600	62.338	452.127	393.375	329.011	-853.618	-222.410	2.075
5700	62.339	453.230	394.416	335.244	-856.641	-211.113	1.935
5800	62.339	454.315	395.439	341.478	-859.774	-199.761	1.799
5900	62.340	455.380	396.446	347.712	-863.012	-188.353	1.668
6000	62.341	456.428	397.437	353.946	-866.358	-176.891	1.540
