Titanium Fluoride Oxide (OTiF2)	F2O1Ti1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-13.577	-920.454	-920.454	INFINITE
100	37.517	231.211	332.858	-10.165	-921.961	-918.554	479.803
200	52.117	261.723	290.111	-5.678	-923.776	-914.396	238.816
250	58.147	274.024	285.687	-2.916	-924.409	-911.974	190.547
298.15	62.779	284.678	284.678	0.	-924.873	-909.535	159.347
300	62.936	285.067	284.679	0.116	-924.889	-909.440	158.348
350	66.665	295.060	285.460	3.360	-925.259	-906.835	135.338
400	69.558	304.159	287.237	6.769	-925.555	-904.182	118.074
450	71.812	312.488	289.587	10.305	-925.801	-901.495	104.643
500	73.585	320.149	292.265	13.942	-926.017	-898.782	93.895
600	76.128	333.807	298.079	21.437	-926.401	-893.299	77.769
700	77.806	345.676	304.049	29.139	-926.765	-887.753	66.245
800	78.961	356.146	309.920	36.981	-927.126	-882.155	57.599
900	79.784	365.496	315.585	44.920	-927.535	-876.510	50.871
1000	80.390	373.935	321.005	52.930	-928.067	-870.813	45.487
1100	80.848	381.620	326.171	60.993	-928.793	-865.055	41.078
1200	81.202	388.670	331.090	69.097	-933.705	-859.101	37.396
1300	81.480	395.181	335.773	77.231	-934.112	-852.868	34.269
1400	81.703	401.228	340.235	85.391	-934.608	-846.600	31.587
1500	81.885	406.871	344.491	93.571	-935.210	-840.294	29.262
1600	82.034	412.161	348.557	101.767	-935.931	-833.943	27.225
1700	82.159	417.138	352.446	109.977	-936.785	-827.544	25.427
1800	82.263	421.837	356.172	118.198	-937.785	-821.090	23.827
1900	82.352	426.288	359.746	126.429	-938.944	-814.576	22.394
2000	82.428	430.514	363.180	134.668	-954.959	-807.543	21.091
2100	82.494	434.537	366.483	142.914	-957.216	-800.117	19.902
2200	82.551	438.376	369.664	151.166	-959.481	-792.582	18.818
2300	82.601	442.047	372.732	159.424	-961.751	-784.945	17.827
2400	82.645	445.563	375.694	167.686	-964.022	-777.210	16.916
2500	82.684	448.938	378.556	175.953	-966.291	-769.379	16.075
2600	82.718	452.181	381.326	184.223	-968.555	-761.458	15.298
2700	82.749	455.304	384.009	192.496	-970.811	-753.449	14.576
2800	82.777	458.313	386.609	200.773	-973.055	-745.358	13.905
2900	82.801	461.219	389.132	209.052	-975.284	-737.187	13.278
3000	82.824	464.026	391.582	217.333	-977.496	-728.939	12.692
3100	82.844	466.742	393.963	225.616	-979.689	-720.617	12.142
3200	82.862	469.373	396.278	233.902	-981.860	-712.226	11.626
3300	82.879	471.923	398.532	242.189	-984.008	-703.766	11.140
3400	82.894	474.397	400.727	250.477	-986.131	-695.242	10.681
3500	82.908	476.800	402.867	258.768	-988.229	-686.656	10.248
3600	82.921	479.136	404.953	267.059	-990.299	-678.010	9.838
3700	82.933	481.408	406.989	275.352	-1401.440	-661.519	9.339
3800	82.944	483.620	408.976	283.646	-1402.221	-641.511	8.818
3900	82.954	485.775	410.918	291.941	-1403.028	-621.481	8.324
4000	82.963	487.875	412.816	300.236	-1403.861	-601.431	7.854
4100	82.972	489.924	414.672	308.533	-1404.718	-581.360	7.407
4200	82.980	491.923	416.487	316.831	-1405.598	-561.267	6.980
4300	82.988	493.876	418.264	325.129	-1406.500	-541.154	6.574
4400	82.995	495.784	420.005	333.428	-1407.422	-521.019	6.185
4500	83.001	497.649	421.709	341.728	-1408.362	-500.863	5.814
4600	83.007	499.473	423.380	350.029	-1409.320	-480.686	5.458
4700	83.013	501.259	425.018	358.330	-1410.295	-460.487	5.118
4800	83.018	503.006	426.625	366.631	-1411.285	-440.268	4.791
4900	83.024	504.718	428.201	374.933	-1412.290	-420.028	4.478
5000	83.028	506.396	429.748	383.236	-1413.307	-399.768	4.176
5100	83.033	508.040	431.267	391.539	-1414.336	-379.486	3.887
5200	83.037	509.652	432.759	399.842	-1415.377	-359.185	3.608
5300	83.041	511.234	434.225	408.146	-1416.428	-338.864	3.340
5400	83.045	512.786	435.666	416.451	-1417.489	-318.523	3.081
5500	83.048	514.310	437.082	424.755	-1418.558	-298.162	2.832
5600	83.052	515.806	438.474	433.060	-1419.635	-277.781	2.591
5700	83.055	517.276	439.844	441.366	-1420.720	-257.382	2.359
5800	83.058	518.721	441.191	449.671	-1421.812	-236.962	2.134
5900	83.061	520.141	442.518	457.977	-1422.910	-216.525	1.917
6000	83.064	521.537	443.823	466.283	-1424.014	-196.068	1.707
