Iron Iodide ((FeI2)2)	Fe2I4(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-34.030	9.747	9.747	INFINITE
100	119.470	404.580	658.433	-25.385	11.447	-15.600	8.149
200	129.233	491.411	555.431	-12.804	10.625	-42.494	11.098
250	130.564	520.408	545.629	-6.305	9.593	-55.661	11.630
298.15	131.283	543.471	543.471	0.	8.368	-68.121	11.935
300	131.304	544.284	543.474	0.243	8.316	-68.596	11.944
350	131.756	564.561	545.074	6.820	6.698	-81.293	12.132
400	132.052	582.175	548.635	13.416	-27.043	-92.647	12.098
450	132.258	597.741	553.243	20.024	-31.296	-100.593	11.676
500	132.409	611.684	558.402	26.641	-115.916	-100.461	10.495
600	132.629	635.845	569.357	39.893	-116.344	-97.338	8.474
700	132.820	656.305	580.354	53.166	-117.258	-94.105	7.022
800	133.038	674.054	590.981	66.458	-118.753	-90.704	5.922
900	133.308	689.739	601.100	79.775	-121.074	-87.069	5.053
1000	133.635	703.800	610.679	93.122	-124.826	-83.108	4.341
1100	134.013	716.555	619.733	106.504	-130.359	-78.640	3.734
1200	134.430	728.233	628.295	119.926	-134.783	-73.781	3.212
1300	134.872	739.010	636.402	133.391	-135.917	-68.653	2.759
1400	135.325	749.022	644.093	146.900	-137.235	-63.431	2.367
1500	135.774	758.374	651.404	160.455	-138.756	-58.107	2.023
1600	136.209	767.150	658.366	174.055	-140.500	-52.675	1.720
1700	136.620	775.421	665.011	187.696	-144.386	-47.089	1.447
1800	137.001	783.240	671.364	201.378	-147.300	-41.283	1.198
1900	137.347	790.657	677.449	215.095	-178.679	-33.904	0.932
2000	137.655	797.710	683.287	228.846	-182.614	-26.182	0.684
2100	137.924	804.433	688.897	242.625	-186.656	-18.262	0.454
2200	138.153	810.855	694.296	256.429	-190.797	-10.147	0.241
2300	138.345	817.000	699.498	270.254	-195.027	-1.841	0.042
2400	138.500	822.891	704.518	284.097	-199.330	6.651	-0.145
2500	138.621	828.548	709.367	297.953	-203.686	15.322	-0.320
2600	138.710	833.987	714.056	311.820	-208.077	24.170	-0.486
2700	138.771	839.223	718.595	325.694	-212.481	33.186	-0.642
2800	138.806	844.270	722.994	339.573	-216.879	42.365	-0.790
2900	138.817	849.141	727.260	353.455	-221.251	51.701	-0.931
3000	138.808	853.847	731.402	367.336	-225.581	61.187	-1.065
3100	138.782	858.398	735.426	381.216	-229.853	70.817	-1.193
3200	138.740	862.804	739.338	395.092	-930.654	95.431	-1.558
3300	138.685	867.072	743.144	408.963	-930.973	127.501	-2.018
3400	138.618	871.212	746.850	422.829	-931.267	159.580	-2.452
3500	138.543	875.229	750.461	436.687	-931.529	191.668	-2.860
3600	138.459	879.130	753.981	450.537	-931.758	223.762	-3.247
3700	138.369	882.923	757.415	464.378	-931.950	255.863	-3.612
3800	138.275	886.612	760.767	478.211	-932.106	287.969	-3.958
3900	138.176	890.202	764.040	492.033	-932.225	320.078	-4.287
4000	138.074	893.699	767.238	505.846	-932.311	352.189	-4.599
4100	137.970	897.107	770.364	519.648	-932.365	384.302	-4.896
4200	137.865	900.431	773.421	533.440	-932.392	416.416	-5.179
4300	137.760	903.674	776.413	547.221	-932.396	448.531	-5.449
4400	137.654	906.839	779.341	560.992	-932.380	480.645	-5.706
4500	137.549	909.932	782.209	574.752	-932.351	512.759	-5.952
4600	137.444	912.954	785.019	588.501	-932.312	544.872	-6.187
4700	137.340	915.909	787.772	602.241	-932.270	576.984	-6.412
4800	137.238	918.799	790.472	615.969	-932.230	609.096	-6.628
4900	137.137	921.628	793.120	629.688	-932.197	641.207	-6.835
5000	137.038	924.397	795.718	643.397	-932.178	673.316	-7.034
5100	136.941	927.110	798.268	657.096	-932.178	705.427	-7.225
5200	136.845	929.768	800.771	670.785	-932.204	737.537	-7.409
5300	136.752	932.374	803.230	684.465	-932.260	769.647	-7.585
5400	136.661	934.929	805.645	698.136	-932.354	801.760	-7.755
5500	136.572	937.436	808.018	711.797	-932.492	833.874	-7.919
5600	136.486	939.896	810.351	725.450	-932.681	865.992	-8.078
5700	136.401	942.311	812.645	739.094	-932.927	898.113	-8.230
5800	136.319	944.683	814.902	752.730	-933.238	930.239	-8.378
5900	136.239	947.012	817.121	766.358	-933.621	962.371	-8.520
6000	136.161	949.301	819.305	779.978	-934.083	994.510	-8.658
