Lithium Hydride (LiH)	H1Li1(cr,l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-3.778	-85.548	-85.548	INFINITE
100	6.381	2.322	38.346	-3.602	-87.367	-81.828	42.743
200	18.778	10.715	22.326	-2.322	-89.275	-75.511	19.722
298.15	27.957	20.037	20.037	0.	-90.625	-68.447	11.992
300	28.083	20.210	20.038	0.052	-90.646	-68.309	11.894
400	34.794	29.236	21.223	3.205	-91.546	-60.718	7.929
500	40.735	37.646	23.676	6.985	-95.160	-52.628	5.498
600	46.380	45.575	26.671	11.342	-95.251	-44.103	3.839
700	51.877	53.138	29.915	16.256	-94.731	-35.611	2.657
800	57.300	60.420	33.276	21.715	-93.644	-27.233	1.778
900	62.676	67.480	36.686	27.715	-92.024	-19.023	1.104
961.800	65.985	71.751	38.802	31.690	CRYSTAL <--> LIQUID
961.800	62.342	95.242	38.802	54.284	TRANSITION
1000	62.342	97.670	41.005	56.665	-67.461	-11.916	0.622
1100	62.342	103.612	46.431	62.900	-65.627	-6.451	0.306
1200	62.342	109.036	51.425	69.134	-63.808	-1.151	0.050
1300	62.342	114.026	56.051	75.368	-62.007	3.997	-0.161
1400	62.342	118.646	60.359	81.602	-60.221	9.007	-0.336
1500	62.342	122.948	64.390	87.836	-58.448	13.890	-0.484
1600	62.342	126.971	68.177	94.070	-56.689	18.655	-0.609
1700	62.342	130.750	71.748	100.305	-200.179	30.487	-0.937
1800	62.342	134.314	75.126	106.539	-197.692	43.983	-1.276
1900	62.342	137.684	78.330	112.773	-195.226	57.342	-1.576
2000	62.342	140.882	81.379	119.007	-192.781	70.572	-1.843
