Magnesium Hydride (MgH)	H1Mg1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.682	169.583	169.583	INFINITE
100	29.127	161.292	219.230	-5.794	170.330	160.188	-83.673
200	29.181	181.492	195.889	-2.879	169.890	150.162	-39.218
250	29.316	188.016	193.685	-1.417	169.483	145.275	-30.354
298.15	29.583	193.200	193.200	0.	169.034	140.653	-24.642
300	29.596	193.383	193.201	0.055	169.016	140.477	-24.459
350	30.016	197.975	193.562	1.545	168.519	135.759	-20.261
400	30.535	202.016	194.371	3.058	168.011	131.114	-17.122
450	31.103	205.645	195.426	4.599	167.501	126.533	-14.688
500	31.683	208.952	196.615	6.169	166.993	122.008	-12.746
600	32.778	214.828	199.173	9.393	165.986	113.106	-9.847
700	33.724	219.954	201.783	12.719	164.971	104.372	-7.788
800	34.510	224.510	204.345	16.132	163.919	95.786	-6.254
900	35.158	228.613	206.817	19.616	162.798	87.336	-5.069
1000	35.694	232.346	209.186	23.160	152.983	79.728	-4.165
1100	36.141	235.770	211.449	26.752	151.625	72.469	-3.441
1200	36.519	238.931	213.609	30.386	150.289	65.332	-2.844
1300	36.844	241.867	215.671	34.054	148.966	58.306	-2.343
1400	37.127	244.608	217.642	37.753	20.243	54.549	-2.035
1500	37.376	247.178	219.526	41.479	20.286	56.998	-1.985
1600	37.599	249.598	221.330	45.228	20.330	59.443	-1.941
1700	37.800	251.883	223.061	48.998	20.375	61.887	-1.902
1800	37.985	254.049	224.723	52.787	20.419	64.327	-1.867
1900	38.155	256.108	226.321	56.594	20.461	66.765	-1.836
2000	38.314	258.069	227.860	60.418	20.501	69.202	-1.807
2100	38.465	259.942	229.343	64.257	20.538	71.636	-1.782
2200	38.608	261.734	230.775	68.110	20.573	74.068	-1.759
2300	38.746	263.454	232.159	71.978	20.605	76.499	-1.737
2400	38.881	265.106	233.497	75.860	20.636	78.928	-1.718
2500	39.013	266.695	234.794	79.754	20.663	81.357	-1.700
2600	39.144	268.228	236.050	83.662	20.689	83.784	-1.683
2700	39.275	269.708	237.270	87.583	20.712	86.210	-1.668
2800	39.407	271.139	238.454	91.517	20.732	88.636	-1.654
2900	39.541	272.524	239.605	95.464	20.749	91.060	-1.640
3000	39.678	273.867	240.725	99.425	20.763	93.485	-1.628
3100	39.818	275.170	241.815	103.400	20.773	95.909	-1.616
3200	39.962	276.436	242.877	107.389	20.778	98.332	-1.605
3300	40.110	277.668	243.913	111.393	20.778	100.756	-1.595
3400	40.264	278.868	244.923	115.411	20.771	103.179	-1.585
3500	40.423	280.037	245.910	119.445	20.756	105.603	-1.576
3600	40.587	281.178	246.874	123.496	20.733	108.028	-1.567
3700	40.757	282.293	247.816	127.563	20.699	110.453	-1.559
3800	40.933	283.382	248.738	131.648	20.653	112.880	-1.552
3900	41.114	284.448	249.640	135.750	20.595	115.307	-1.544
4000	41.301	285.491	250.523	139.871	20.521	117.737	-1.537
4100	41.494	286.513	251.389	144.010	20.431	120.168	-1.531
4200	41.693	287.515	252.237	148.170	20.323	122.602	-1.525
4300	41.897	288.499	253.069	152.349	20.195	125.039	-1.519
4400	42.106	289.464	253.885	156.549	20.046	127.479	-1.513
4500	42.320	290.413	254.686	160.770	19.874	129.922	-1.508
4600	42.538	291.345	255.473	165.013	19.678	132.370	-1.503
4700	42.761	292.263	256.246	169.278	19.455	134.822	-1.498
4800	42.989	293.165	257.006	173.566	19.205	137.279	-1.494
4900	43.220	294.054	257.753	177.876	18.926	139.742	-1.490
5000	43.455	294.930	258.488	182.210	18.617	142.211	-1.486
5100	43.694	295.792	259.211	186.567	18.277	144.686	-1.482
5200	43.936	296.643	259.922	190.949	17.903	147.168	-1.478
5300	44.181	297.482	260.623	195.355	17.497	149.658	-1.475
5400	44.428	298.311	261.313	199.785	17.056	152.155	-1.472
5500	44.678	299.128	261.994	204.240	16.579	154.661	-1.469
5600	44.931	299.935	262.664	208.721	16.066	157.177	-1.466
5700	45.185	300.733	263.325	213.226	15.516	159.701	-1.463
5800	45.441	301.521	263.977	217.758	14.928	162.236	-1.461
5900	45.699	302.300	264.620	222.315	14.301	164.781	-1.459
6000	45.958	303.070	265.254	226.898	13.636	167.337	-1.457
