Zirconium Hydride (ZrH)	H1Zr1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.690	517.346	517.346	INFINITE
100	29.126	184.229	242.222	-5.799	517.851	505.870	-264.240
200	29.195	204.430	218.853	-2.885	517.226	494.091	-129.043
250	29.368	210.961	216.645	-1.421	516.775	488.359	-102.037
298.15	29.687	216.158	216.158	0.	516.306	482.928	-84.607
300	29.702	216.342	216.159	0.055	516.287	482.721	-84.049
350	30.178	220.955	216.522	1.551	515.788	477.166	-71.213
400	30.741	225.021	217.335	3.074	515.294	471.682	-61.595
450	31.338	228.676	218.396	4.626	514.811	466.260	-54.122
500	31.930	232.008	219.593	6.208	514.342	460.891	-48.149
600	33.015	237.928	222.168	9.457	513.435	450.286	-39.201
700	33.923	243.088	224.795	12.805	512.548	439.832	-32.821
800	34.661	247.668	227.374	16.236	511.652	429.505	-28.044
900	35.258	251.786	229.861	19.732	510.714	419.292	-24.335
1000	35.743	255.527	232.244	23.283	509.707	409.187	-21.374
1100	36.143	258.953	234.518	26.878	508.611	399.187	-18.956
1200	36.478	262.113	236.688	30.510	503.702	389.513	-16.955
1300	36.762	265.044	238.758	34.172	502.935	380.029	-15.270
1400	37.007	267.778	240.734	37.861	502.131	370.604	-13.827
1500	37.221	270.338	242.623	41.573	501.276	361.239	-12.579
1600	37.411	272.747	244.431	45.304	500.355	351.933	-11.489
1700	37.581	275.020	246.164	49.054	499.357	342.686	-10.529
1800	37.735	277.172	247.828	52.820	498.270	333.501	-9.678
1900	37.876	279.216	249.426	56.601	497.084	324.379	-8.918
2000	38.006	281.162	250.965	60.395	495.786	315.323	-8.235
2100	38.127	283.020	252.448	64.202	494.367	306.334	-7.620
2200	38.242	284.796	253.878	68.020	471.493	298.161	-7.079
2300	38.350	286.498	255.259	71.850	469.383	290.330	-6.594
2400	38.452	288.133	256.595	75.690	467.268	282.590	-6.150
2500	38.551	289.704	257.888	79.540	465.149	274.939	-5.745
2600	38.645	291.218	259.141	83.400	463.026	267.373	-5.372
2700	38.736	292.678	260.357	87.269	460.899	259.888	-5.028
2800	38.824	294.089	261.536	91.147	458.769	252.482	-4.710
2900	38.910	295.453	262.682	95.034	456.634	245.152	-4.416
3000	38.993	296.773	263.797	98.929	454.497	237.896	-4.142
3100	39.075	298.053	264.881	102.832	452.356	230.711	-3.887
3200	39.155	299.295	265.938	106.744	450.213	223.596	-3.650
3300	39.233	300.501	266.967	110.663	448.067	216.547	-3.428
3400	39.310	301.673	267.970	114.590	445.918	209.564	-3.220
3500	39.386	302.814	268.950	118.525	443.766	202.643	-3.024
3600	39.461	303.925	269.906	122.467	441.612	195.785	-2.841
3700	39.535	305.007	270.840	126.417	439.455	188.986	-2.668
3800	39.608	306.062	271.753	130.374	437.296	182.245	-2.505
3900	39.680	307.092	272.646	134.339	435.135	175.561	-2.351
4000	39.752	308.097	273.520	138.310	432.972	168.933	-2.206
4100	39.823	309.080	274.375	142.289	430.806	162.359	-2.068
4200	39.893	310.040	275.213	146.275	428.638	155.838	-1.938
4300	39.963	310.980	276.034	150.268	426.468	149.368	-1.814
4400	40.032	311.899	276.839	154.267	424.296	142.949	-1.697
4500	40.101	312.800	277.628	158.274	422.122	136.579	-1.585
4600	40.170	313.682	278.402	162.288	419.947	130.258	-1.479
4700	40.238	314.546	279.162	166.308	417.770	123.984	-1.378
4800	40.306	315.394	279.908	170.335	-145.346	129.373	-1.408
4900	40.373	316.226	280.641	174.369	-147.177	135.115	-1.440
5000	40.441	317.042	281.360	178.410	-149.027	140.895	-1.472
5100	40.508	317.844	282.068	182.457	-150.893	146.712	-1.503
5200	40.574	318.631	282.764	186.511	-152.774	152.566	-1.533
5300	40.641	319.405	283.448	190.572	-154.668	158.456	-1.562
5400	40.707	320.165	284.121	194.640	-156.574	164.382	-1.590
5500	40.773	320.912	284.783	198.714	-158.489	170.343	-1.618
5600	40.839	321.648	285.434	202.794	-160.413	176.339	-1.645
5700	40.905	322.371	286.076	206.882	-162.343	182.370	-1.671
5800	40.971	323.083	286.708	210.975	-164.278	188.434	-1.697
5900	41.036	323.784	287.331	215.076	-166.216	194.532	-1.722
6000	41.102	324.474	287.944	219.183	-168.156	200.663	-1.747
