Diiodosilane (SiH2I2)	H2I2Si1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-14.917	-28.108	-28.108	INFINITE
100	43.099	267.914	379.301	-11.139	-30.645	-40.881	21.354
200	56.780	301.906	332.682	-6.155	-34.466	-49.641	12.965
250	62.986	315.261	327.889	-3.157	-36.342	-53.217	11.119
298.15	67.980	326.797	326.797	0.	-38.074	-56.308	9.865
300	68.153	327.218	326.798	0.126	-38.140	-56.421	9.824
350	72.371	338.051	327.644	3.643	-39.919	-59.328	8.854
400	75.838	347.949	329.572	7.351	-57.581	-61.436	8.023
450	78.748	357.054	332.127	11.217	-60.332	-61.752	7.168
500	81.249	365.483	335.046	15.219	-103.110	-57.968	6.056
600	85.398	380.678	341.413	23.559	-103.829	-48.867	4.254
700	88.749	394.102	348.000	32.272	-104.269	-39.668	2.960
800	91.512	406.139	354.528	41.289	-104.492	-30.422	1.986
900	93.803	417.054	360.878	50.558	-104.550	-21.158	1.228
1000	95.709	427.039	367.002	60.037	-104.488	-11.895	0.621
1100	97.298	436.238	372.884	69.690	-104.345	-2.642	0.125
1200	98.628	444.763	378.523	79.488	-104.157	6.596	-0.287
1300	99.745	452.702	383.927	89.408	-103.954	15.817	-0.636
1400	100.689	460.130	389.108	99.431	-103.764	25.023	-0.934
1500	101.491	467.105	394.077	109.541	-103.614	34.217	-1.192
1600	102.176	473.677	398.849	119.725	-103.524	43.402	-1.417
1700	102.764	479.890	403.435	129.973	-153.690	53.031	-1.629
1800	103.273	485.778	407.847	140.276	-153.542	65.186	-1.892
1900	103.714	491.374	412.097	150.625	-153.455	77.335	-2.126
2000	104.100	496.704	416.196	161.017	-153.434	89.481	-2.337
2100	104.438	501.791	420.151	171.444	-153.480	101.628	-2.528
2200	104.736	506.657	423.974	181.903	-153.590	113.778	-2.701
2300	105.000	511.318	427.671	192.390	-153.758	125.935	-2.860
2400	105.235	515.792	431.250	202.902	-153.977	138.100	-3.006
2500	105.444	520.092	434.718	213.436	-154.237	150.275	-3.140
2600	105.632	524.232	438.082	223.990	-154.527	162.461	-3.264
2700	105.801	528.222	441.347	234.562	-154.835	174.659	-3.379
2800	105.953	532.072	444.519	245.150	-155.153	186.868	-3.486
2900	106.091	535.793	447.602	255.752	-155.468	199.089	-3.586
3000	106.216	539.391	450.602	266.367	-155.773	211.320	-3.679
3100	106.330	542.876	453.523	276.995	-156.059	223.561	-3.767
3200	106.433	546.253	456.368	287.633	-156.318	235.811	-3.849
3300	106.528	549.530	459.142	298.281	-156.546	248.069	-3.927
3400	106.616	552.712	461.847	308.938	-156.738	260.333	-4.000
3500	106.696	555.803	464.488	319.604	-156.889	272.602	-4.068
3600	106.770	558.810	467.066	330.277	-541.150	295.336	-4.285
3700	106.838	561.736	469.586	340.958	-540.800	318.567	-4.497
3800	106.901	564.586	472.048	351.645	-540.406	341.788	-4.698
3900	106.959	567.364	474.457	362.338	-539.967	364.998	-4.889
4000	107.014	570.073	476.814	373.036	-539.483	388.196	-5.069
4100	107.064	572.716	479.121	383.740	-538.954	411.381	-5.241
4200	107.111	575.296	481.380	394.449	-538.381	434.554	-5.404
4300	107.155	577.817	483.593	405.162	-537.764	457.711	-5.560
4400	107.196	580.281	485.763	415.880	-537.105	480.854	-5.708
4500	107.234	582.691	487.890	426.601	-536.404	503.982	-5.850
4600	107.270	585.048	489.977	437.327	-535.664	527.093	-5.985
4700	107.304	587.355	492.024	448.055	-534.885	550.189	-6.115
4800	107.336	589.615	494.034	458.787	-534.068	573.267	-6.238
4900	107.366	591.828	496.007	469.523	-533.216	596.328	-6.357
5000	107.394	593.997	497.945	480.261	-532.330	619.371	-6.471
5100	107.420	596.124	499.850	491.001	-531.411	642.396	-6.579
5200	107.445	598.211	501.721	501.745	-530.461	665.402	-6.684
5300	107.469	600.257	503.561	512.490	-529.480	688.390	-6.784
5400	107.491	602.266	505.370	523.238	-528.470	711.360	-6.881
5500	107.512	604.239	507.150	533.988	-527.431	734.309	-6.974
5600	107.533	606.176	508.901	544.741	-526.366	757.241	-7.063
5700	107.552	608.080	510.625	555.495	-525.275	780.153	-7.149
5800	107.570	609.951	512.321	566.251	-524.159	803.046	-7.232
5900	107.587	611.790	513.991	577.009	-523.019	825.918	-7.312
6000	107.603	613.598	515.636	587.768	-521.854	848.772	-7.389
