Mercury Oxide (HgO)	Hg1O1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.104	-86.208	-86.208	INFINITE
100	28.434	30.840	105.148	-7.431	-87.693	-78.390	40.947
200	38.171	53.856	74.128	-4.054	-88.357	-68.775	17.962
298.15	44.062	70.270	70.270	0.	-90.789	-58.490	10.247
300	44.145	70.543	70.271	0.082	-90.786	-58.289	10.149
400	48.325	83.836	72.055	4.712	-90.406	-47.502	6.203
500	51.631	94.990	75.556	9.717	-89.659	-36.856	3.850
600	54.120	104.632	79.617	15.009	-88.660	-26.386	2.297
700	56.066	113.127	83.809	20.523	-146.248	-9.526	0.711
800	57.509	120.711	87.956	26.204	-144.314	9.874	-0.645
900	58.626	127.553	91.982	32.013	-142.285	29.027	-1.685
1000	59.413	133.773	95.855	37.918	-140.190	47.950	-2.505
