Iodine (I)	I1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-6.197	107.164	107.164	INFINITE
100	20.786	158.079	199.267	-4.119	107.717	94.959	-49.601
200	20.786	172.487	182.688	-2.040	107.330	82.328	-21.502
250	20.786	177.125	181.128	-1.001	107.055	76.109	-15.902
298.15	20.786	180.786	180.786	0.	106.762	70.174	-12.294
300	20.786	180.915	180.787	0.038	106.750	69.947	-12.179
350	20.786	184.119	181.040	1.078	106.383	63.841	-9.528
400	20.786	186.895	181.602	2.117	98.010	58.064	-7.582
450	20.786	189.343	182.329	3.156	97.032	53.130	-6.167
500	20.786	191.533	183.142	4.196	75.990	50.203	-5.245
600	20.786	195.323	184.866	6.274	76.191	45.027	-3.920
700	20.786	198.527	186.594	8.353	76.386	39.818	-2.971
800	20.787	201.302	188.263	10.432	76.575	34.580	-2.258
900	20.789	203.751	189.851	12.510	76.759	29.320	-1.702
1000	20.795	205.942	191.352	14.589	76.937	24.039	-1.256
1100	20.806	207.924	192.770	16.669	77.110	18.741	-0.890
1200	20.824	209.735	194.109	18.751	77.275	13.428	-0.584
1300	20.851	211.403	195.376	20.835	77.430	8.101	-0.325
1400	20.889	212.949	196.577	22.921	77.574	2.762	-0.103
1500	20.936	214.392	197.717	25.013	77.701	-2.586	0.090
1600	20.994	215.745	198.802	27.109	77.809	-7.942	0.259
1700	21.062	217.020	199.836	29.212	77.894	-13.304	0.409
1800	21.137	218.226	200.825	31.322	77.954	-18.671	0.542
1900	21.220	219.371	201.771	33.440	77.986	-24.040	0.661
2000	21.308	220.461	202.679	35.566	77.992	-29.410	0.768
2100	21.399	221.503	203.550	37.701	77.974	-34.780	0.865
2200	21.493	222.501	204.389	39.846	77.933	-40.148	0.953
2300	21.588	223.458	205.198	42.000	77.875	-45.514	1.034
2400	21.682	224.379	205.978	44.163	77.803	-50.877	1.107
2500	21.775	225.266	206.732	46.336	77.724	-56.237	1.175
2600	21.865	226.122	207.461	48.518	77.643	-61.594	1.237
2700	21.953	226.949	208.168	50.709	77.565	-66.948	1.295
2800	22.036	227.749	208.853	52.909	77.497	-72.299	1.349
2900	22.116	228.523	209.518	55.116	77.442	-77.648	1.399
3000	22.191	229.274	210.164	57.332	77.406	-82.995	1.445
3100	22.261	230.003	210.792	59.554	77.392	-88.342	1.489
3200	22.327	230.711	211.404	61.784	77.403	-93.688	1.529
3300	22.387	231.399	211.999	64.019	77.442	-99.035	1.568
3400	22.443	232.068	212.580	66.261	77.511	-104.384	1.604
3500	22.494	232.720	213.146	68.508	77.612	-109.735	1.638
3600	22.540	233.354	213.698	70.760	77.745	-115.090	1.670
3700	22.581	233.972	214.238	73.016	77.911	-120.448	1.700
3800	22.618	234.575	214.765	75.276	78.110	-125.812	1.729
3900	22.651	235.163	215.281	77.539	78.342	-131.181	1.757
4000	22.679	235.736	215.785	79.806	78.608	-136.557	1.783
4100	22.704	236.297	216.279	82.075	78.905	-141.940	1.808
4200	22.725	236.844	216.762	84.346	79.234	-147.330	1.832
4300	22.743	237.379	217.235	86.620	79.593	-152.729	1.855
4400	22.757	237.902	217.699	88.895	79.983	-158.136	1.877
4500	22.769	238.414	218.153	91.171	80.400	-163.552	1.898
4600	22.777	238.914	218.599	93.448	80.846	-168.979	1.919
4700	22.783	239.404	219.037	95.726	81.318	-174.415	1.938
4800	22.787	239.884	219.466	98.005	81.816	-179.861	1.957
4900	22.788	240.354	219.888	100.284	82.338	-185.318	1.976
5000	22.787	240.814	220.302	102.562	82.883	-190.786	1.993
5100	22.784	241.265	220.708	104.841	83.450	-196.265	2.010
5200	22.780	241.708	221.108	107.119	84.039	-201.755	2.027
5300	22.774	242.142	221.501	109.397	84.648	-207.257	2.043
5400	22.766	242.567	221.887	111.674	85.276	-212.770	2.058
5500	22.757	242.985	222.267	113.950	85.922	-218.296	2.073
5600	22.747	243.395	222.640	116.225	86.586	-223.833	2.088
5700	22.736	243.797	223.008	118.500	87.266	-229.382	2.102
5800	22.724	244.193	223.370	120.773	87.962	-234.943	2.116
5900	22.711	244.581	223.726	123.044	88.673	-240.517	2.129
6000	22.697	244.963	224.077	125.315	89.399	-246.102	2.143
