Lithium Sulfate, Alpha (Li2SO4)	Li2O4S1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-18.636	-1423.980	-1423.980	INFINITE
100	43.869	28.932	196.627	-16.769	-1429.603	-1395.114	728.733
200	86.872	73.028	123.821	-10.159	-1434.139	-1358.693	354.854
298.15	117.608	113.947	113.947	0.	-1436.367	-1321.111	231.453
300	118.026	114.676	113.949	0.218	-1436.391	-1320.395	229.901
400	139.244	151.679	118.850	13.131	-1439.218	-1281.517	167.349
500	154.473	184.409	128.754	27.827	-1446.434	-1241.336	129.682
600	168.469	213.812	140.519	43.975	-1446.156	-1200.315	104.497
700	182.360	240.827	152.943	61.518	-1444.320	-1159.466	86.520
800	196.062	266.069	165.522	80.437	-1441.078	-1118.979	73.062
848.000	202.732	277.686	171.544	90.008	ALPHA <--> BETA
900	209.702	289.957	178.033	100.732	1489.633  1077.896 62.559
1000	223.384	312.760	190.373	122.387	-1482.531	-1032.517	53.933
1100	237.051	334.692	202.502	145.408	-1474.161	-987.910	46.912
1200	250.705	355.903	214.406	169.796	-1464.510	-944.121	41.097
