Nitrogen Sulfide (NS)	N1S1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.397	262.942	262.942	INFINITE
100	32.301	186.768	250.632	-6.386	263.812	254.378	-132.873
200	32.201	209.348	224.999	-3.130	263.971	244.827	-63.942
250	31.833	216.488	222.611	-1.531	263.823	240.056	-50.157
298.15	31.793	222.087	222.087	0.	263.592	235.498	-41.258
300	31.797	222.284	222.088	0.059	263.582	235.324	-40.974
350	32.020	227.200	222.476	1.653	263.282	230.637	-34.421
400	32.391	231.498	223.340	3.263	260.731	226.084	-29.524
450	32.824	235.338	224.464	4.894	259.703	221.806	-25.747
500	33.267	238.820	225.728	6.546	258.615	217.656	-22.738
600	34.081	244.959	228.435	9.914	256.907	209.632	-18.250
700	34.751	250.265	231.183	13.357	255.482	201.868	-15.064
800	35.284	254.941	233.866	16.860	254.219	194.297	-12.686
900	35.704	259.122	236.444	20.410	199.924	187.958	-10.909
1000	36.039	262.902	238.904	23.998	200.036	186.622	-9.748
1100	36.308	266.350	241.245	27.616	200.133	185.276	-8.798
1200	36.529	269.519	243.471	31.258	200.214	183.922	-8.006
1300	36.713	272.450	245.589	34.920	200.277	182.562	-7.335
1400	36.867	275.177	247.606	38.600	200.322	181.197	-6.761
1500	36.999	277.725	249.530	42.293	200.348	179.830	-6.262
1600	37.114	280.117	251.367	45.999	200.356	178.462	-5.826
1700	37.214	282.370	253.125	49.715	200.347	177.094	-5.441
1800	37.303	284.499	254.810	53.441	200.322	175.726	-5.099
1900	37.383	286.519	256.426	57.176	200.282	174.361	-4.794
2000	37.455	288.438	257.979	60.918	200.228	172.998	-4.518
2100	37.521	290.267	259.473	64.667	200.162	171.638	-4.269
2200	37.582	292.014	260.913	68.422	200.085	170.282	-4.043
2300	37.639	293.686	262.302	72.183	199.997	168.929	-3.836
2400	37.691	295.289	263.643	75.949	199.900	167.580	-3.647
2500	37.741	296.828	264.940	79.721	199.795	166.236	-3.473
2600	37.788	298.310	266.195	83.498	199.683	164.895	-3.313
2700	37.833	299.737	267.411	87.279	199.564	163.560	-3.164
2800	37.875	301.113	268.590	91.064	199.439	162.228	-3.026
2900	37.916	302.443	269.735	94.854	199.309	160.902	-2.898
3000	37.955	303.729	270.847	98.647	199.174	159.580	-2.779
3100	37.993	304.974	271.928	102.445	199.035	158.262	-2.667
3200	38.030	306.181	272.979	106.246	198.892	156.949	-2.562
3300	38.066	307.352	274.003	110.051	198.746	155.641	-2.464
3400	38.101	308.489	275.001	113.859	198.596	154.337	-2.371
3500	38.135	309.594	275.974	117.671	198.442	153.037	-2.284
3600	38.168	310.669	276.922	121.486	198.286	151.742	-2.202
3700	38.201	311.715	277.849	125.304	198.126	150.451	-2.124
3800	38.233	312.734	278.753	129.126	197.963	149.165	-2.050
3900	38.265	313.727	279.637	132.951	197.796	147.883	-1.981
4000	38.296	314.697	280.502	136.779	197.626	146.605	-1.914
4100	38.326	315.643	281.347	140.610	197.452	145.332	-1.852
4200	38.357	316.567	282.175	144.444	197.275	144.063	-1.792
4300	38.386	317.469	282.985	148.281	197.093	142.798	-1.735
4400	38.416	318.352	283.779	152.122	196.907	141.538	-1.680
4500	38.445	319.216	284.557	155.965	196.717	140.281	-1.628
4600	38.474	320.061	285.320	159.811	196.523	139.029	-1.579
4700	38.503	320.889	286.068	163.660	196.323	137.782	-1.531
4800	38.532	321.700	286.802	167.511	196.119	136.538	-1.486
4900	38.560	322.495	287.522	171.366	195.909	135.299	-1.442
5000	38.588	323.274	288.229	175.223	195.694	134.064	-1.401
5100	38.616	324.038	288.924	179.083	195.474	132.834	-1.360
5200	38.644	324.789	289.607	182.946	195.247	131.608	-1.322
5300	38.671	325.525	290.277	186.812	195.015	130.386	-1.285
5400	38.699	326.248	290.937	190.681	194.776	129.169	-1.249
5500	38.726	326.958	291.585	194.552	194.532	127.956	-1.215
5600	38.753	327.656	292.223	198.426	194.281	126.748	-1.182
5700	38.780	328.343	292.851	202.303	194.023	125.544	-1.150
5800	38.807	329.017	293.469	206.182	193.759	124.345	-1.120
5900	38.834	329.681	294.077	210.064	193.488	123.151	-1.090
6000	38.861	330.334	294.676	213.949	193.211	121.961	-1.062
