Nitrogen Oxide (N2O)	N2O1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.579	85.481	85.481	INFINITE
100	29.349	184.150	250.829	-6.668	84.038	90.269	-47.152
200	33.610	205.571	223.335	-3.553	82.787	97.018	-25.338
250	36.290	213.362	220.580	-1.805	82.351	100.629	-21.025
298.15	38.617	219.957	219.957	0.	82.048	104.179	-18.252
300	38.701	220.196	219.958	0.072	82.039	104.316	-18.163
350	40.817	226.324	220.437	2.061	81.832	108.046	-16.125
400	42.680	231.899	221.526	4.149	81.713	111.800	-14.600
450	44.338	237.023	222.967	6.325	81.665	115.565	-13.414
500	45.826	241.773	224.613	8.580	81.675	119.331	-12.466
600	48.389	250.363	228.204	13.295	81.827	126.851	-11.043
700	50.500	257.986	231.924	18.243	82.105	134.334	-10.024
800	52.241	264.846	235.618	23.383	82.467	141.772	-9.257
900	53.678	271.085	239.217	28.681	82.886	149.160	-8.657
1000	54.865	276.804	242.694	34.110	83.344	156.500	-8.175
1100	55.848	282.081	246.038	39.647	83.829	163.792	-7.778
1200	56.665	286.976	249.248	45.274	84.333	171.039	-7.445
1300	57.349	291.540	252.328	50.976	84.849	178.244	-7.162
1400	57.924	295.811	255.283	56.740	85.373	185.408	-6.918
1500	58.410	299.825	258.120	62.557	85.902	192.535	-6.705
1600	58.825	303.608	260.846	68.420	86.432	199.627	-6.517
1700	59.180	307.185	263.467	74.320	86.961	206.685	-6.351
1800	59.486	310.577	265.991	80.254	87.488	213.713	-6.202
1900	59.752	313.800	268.423	86.216	88.010	220.711	-6.068
2000	59.983	316.871	270.769	92.203	88.527	227.682	-5.946
2100	60.186	319.803	273.035	98.212	89.038	234.627	-5.836
2200	60.365	322.607	275.225	104.240	89.542	241.548	-5.735
2300	60.523	325.294	277.344	110.284	90.038	248.446	-5.642
2400	60.663	327.873	279.396	116.344	90.526	255.323	-5.557
2500	60.788	330.352	281.385	122.417	91.005	262.179	-5.478
2600	60.900	332.738	283.314	128.501	91.474	269.017	-5.405
2700	61.001	335.038	285.188	134.596	91.935	275.837	-5.336
2800	61.091	337.258	287.008	140.701	92.387	282.640	-5.273
2900	61.173	339.404	288.778	146.814	92.829	289.427	-5.213
3000	61.248	341.479	290.500	152.935	93.262	296.199	-5.157
3100	61.315	343.488	292.177	159.063	93.686	302.956	-5.105
3200	61.377	345.436	293.811	165.198	94.101	309.700	-5.055
3300	61.434	347.325	295.405	171.339	94.508	316.431	-5.009
3400	61.486	349.160	296.959	177.485	94.905	323.150	-4.965
3500	61.533	350.943	298.476	183.636	95.295	329.857	-4.923
3600	61.577	352.677	299.957	189.791	95.676	336.554	-4.883
3700	61.618	354.365	301.405	195.951	96.049	343.240	-4.846
3800	61.655	356.009	302.821	202.115	96.414	349.916	-4.810
3900	61.690	357.611	304.205	208.282	96.772	356.583	-4.776
4000	61.722	359.173	305.560	214.453	97.121	363.240	-4.743
4100	61.752	360.697	306.886	220.626	97.464	369.888	-4.712
4200	61.780	362.186	308.185	226.803	97.799	376.529	-4.683
4300	61.806	363.640	309.458	232.982	98.127	383.162	-4.654
4400	61.830	365.061	310.705	239.164	98.447	389.786	-4.627
4500	61.853	366.451	311.929	245.348	98.760	396.404	-4.601
4600	61.874	367.810	313.129	251.534	99.066	403.015	-4.576
4700	61.894	369.141	314.307	257.723	99.364	409.619	-4.552
4800	61.913	370.445	315.463	263.913	99.654	416.217	-4.529
4900	61.931	371.721	316.598	270.106	99.937	422.810	-4.507
5000	61.947	372.973	317.713	276.299	100.211	429.396	-4.486
5100	61.963	374.200	318.808	282.495	100.476	435.977	-4.465
5200	61.978	375.403	319.885	288.692	100.732	442.553	-4.445
5300	61.992	376.584	320.944	294.891	100.980	449.124	-4.426
5400	62.005	377.743	321.985	301.090	101.218	455.690	-4.408
5500	62.018	378.880	323.009	307.292	101.445	462.252	-4.390
5600	62.030	379.998	324.017	313.494	101.662	468.811	-4.373
5700	62.041	381.096	325.009	319.697	101.868	475.365	-4.356
5800	62.052	382.175	325.985	325.902	102.061	481.916	-4.340
5900	62.062	383.236	326.946	332.108	102.242	488.463	-4.325
6000	62.072	384.279	327.893	338.314	102.409	495.009	-4.309
