Sodium Oxide, Ion (NaO-)	Na1O1-(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.405	-113.755				
100	29.702	182.286	247.150	-6.486						
200	32.996	203.881	220.638	-3.351						
250	34.222	211.383	218.060	-1.669						
298.15	35.064	217.487	217.487	0.	-121.336	-134.001	23.476
300	35.091	217.704	217.488	0.065	-121.389	-134.080	23.345
350	35.712	223.163	217.917	1.836	-122.848	-136.081	20.309
400	36.168	227.963	218.879	3.633	-127.006	-137.662	17.977
450	36.513	232.243	220.131	5.451	-128.549	-138.901	16.123
500	36.781	236.105	221.538	7.283	-130.066	-139.970	14.623
600	37.175	242.848	224.544	10.982	-133.041	-141.670	12.333
700	37.455	248.601	227.580	14.715	-135.967	-142.876	10.662
800	37.670	253.617	230.527	18.471	-138.866	-143.665	9.380
900	37.846	258.064	233.345	22.247	-141.759	-144.091	8.363
1000	37.997	262.059	236.020	26.040	-144.663	-144.195	7.532
1100	38.132	265.687	238.554	29.846	-147.598	-144.006	6.838
1200	38.256	269.011	240.956	33.666	-247.342	-141.109	6.142
1300	38.371	272.077	243.233	37.497	-249.460	-132.170	5.311
1400	38.481	274.925	245.397	41.340	-251.581	-123.068	4.592
1500	38.586	277.584	247.455	45.193	-253.705	-113.815	3.963
1600	38.688	280.077	249.417	49.057	-255.833	-104.419	3.409
1700	38.788	282.426	251.290	52.931	-257.962	-94.891	2.916
1800	38.885	284.645	253.082	56.814	-260.094	-85.237	2.474
1900	38.981	286.750	254.799	60.708	-262.228	-75.465	2.075
2000	39.075	288.752	256.447	64.611	-264.366	-65.580	1.713
2100	39.168	290.661	258.031	68.523	-266.506	-55.588	1.383
2200	39.261	292.485	259.556	72.444	-268.649	-45.493	1.080
2300	39.352	294.232	261.026	76.375	-270.797	-35.302	0.802
2400	39.443	295.909	262.445	80.315	-272.949	-25.017	0.544
2500	39.534	297.521	263.816	84.264	-275.107	-14.642	0.306
2600	39.624	299.074	265.142	88.221	-277.270	-4.181	0.084
2700	39.714	300.571	266.427	92.188	-279.441	6.364	-0.123
2800	39.803	302.017	267.672	96.164	-281.619	16.989	-0.317
2900	39.892	303.415	268.881	100.149	-283.806	27.692	-0.499
3000	39.981	304.769	270.055	104.143	-286.004	38.471	-0.670
3100	40.070	306.081	271.196	108.145	-288.212	49.323	-0.831
3200	40.158	307.355	272.306	112.157	-290.433	60.246	-0.983
3300	40.247	308.592	273.387	116.177	-292.667	71.239	-1.128
3400	40.335	309.795	274.440	120.206	-294.916	82.301	-1.264
3500	40.423	310.965	275.467	124.244	-297.182	93.428	-1.394
3600	40.511	312.105	276.469	128.290	-299.467	104.621	-1.518
3700	40.598	313.216	277.447	132.346	-301.772	115.877	-1.636
3800	40.686	314.300	278.403	136.410	-304.099	127.196	-1.748
3900	40.774	315.358	279.337	140.483	-306.450	138.577	-1.856
4000	40.861	316.391	280.250	144.565	-308.827	150.018	-1.959
4100	40.949	317.402	281.144	148.655	-311.233	161.519	-2.058
4200	41.036	318.389	282.019	152.755	-313.668	173.079	-2.153
4300	41.124	319.356	282.876	156.863	-316.139	184.697	-2.244
4400	41.211	320.302	283.716	160.979	-318.603	196.370	-2.331
4500	41.298	321.229	284.539	165.105	-321.126	208.101	-2.416
4600	41.385	322.138	285.347	169.239	-323.696	219.890	-2.497
4700	41.473	323.029	286.139	173.382	-326.308	231.735	-2.575
4800	41.560	323.903	286.917	177.534	-328.964	243.636	-2.651
4900	41.647	324.761	287.681	181.694	-331.667	255.594	-2.725
5000	41.734	325.603	288.431	185.863	-334.413	267.606	-2.796
5100	41.821	326.431	289.168	190.041	-337.217	279.674	-2.864
5200	41.908	327.243	289.892	194.227	-340.078	291.797	-2.931
5300	41.995	328.043	290.604	198.422	-342.997	303.977	-2.996
5400	42.082	328.828	291.305	202.626	-345.978	316.211	-3.059
5500	42.169	329.601	291.994	206.839	-349.023	328.502	-3.120
5600	42.256	330.362	292.673	211.060	-352.135	340.849	-3.179
5700	42.343	331.111	293.340	215.290	-355.318	353.252	-3.237
5800	42.430	331.848	293.998	219.529	-358.573	365.711	-3.294
5900	42.517	332.574	294.646	223.776	-361.903	378.227	-3.349
6000	42.604	333.289	295.284	228.032	-365.154	390.782	-3.402
