Sodium Silicate (Na2SiO3)	Na2O3Si1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-18.913	-1551.203	-1551.203	INFINITE
100	48.308	25.568	196.995	-17.143	-1556.736	-1528.150	798.224
200	89.743	73.542	123.451	-9.982	-1560.031	-1498.083	391.259
298.15	111.880	113.847	113.847	0.	-1561.427	-1467.330	257.070
300	112.395	114.540	113.849	0.207	-1561.442	-1466.746	255.383
400	127.779	149.118	118.459	12.264	-1567.208	-1434.679	187.350
500	138.716	178.865	127.635	25.615	-1566.925	-1401.558	146.420
600	147.114	204.926	138.390	39.922	-1565.766	-1368.581	119.146
700	153.946	228.133	149.583	54.985	-1563.937	-1335.853	99.683
800	159.749	249.078	160.732	70.677	-1561.578	-1303.425	85.105
900	164.841	268.193	171.625	86.911	-1558.788	-1271.319	73.785
1000	169.423	285.801	182.174	103.628	-1555.650	-1239.544	64.747
1100	173.628	302.149	192.346	120.783	-1552.231	-1208.096	57.368
1200	177.540	317.425	202.140	138.343	-1742.114	-1172.091	51.020
1300	181.230	331.783	211.566	156.283	-1736.446	-1124.817	45.196
1362.000	183.407	340.278	217.233	167.587	CRYSTAL <--> LIQUID
1400	184.736	345.343	220.641	174.582	1730.507  1077.989 40.220
1500	188.100	358.203	229.387	193.224	-1724.308	-1031.596	35.923
1600	191.347	370.441	237.824	212.187	-1717.869	-985.624	32.177
1700	195.748	382.186	245.972	231.564	-1761.273	-939.617	28.871
1800	197.560	393.420	253.854	251.219	-1754.069	-891.492	25.870
1900	200.556	404.182	261.485	271.125	-1746.650	-843.772	23.197
2000	203.489	414.544	268.880	291.328	-1738.971	-796.449	20.801
2100	206.376	424.543	276.056	311.822	-1731.037	-749.517	18.643
2200	209.213	434.209	283.026	332.601	-1722.854	-702.968	16.691
2300	212.016	443.571	289.804	353.663	-1714.427	-656.798	14.916
2400	214.781	452.653	296.401	375.003	-1705.760	-611.000	13.298
2500	217.518	461.476	302.829	396.618	-1696.857	-565.567	11.817
