Vanadium Oxide (VO)	O1V1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.773	127.820	127.820	INFINITE
100	29.106	198.710	257.359	-5.865	128.787	118.300	-61.794
200	29.433	218.937	233.663	-2.945	128.415	107.888	-28.178
250	29.991	225.560	231.402	-1.461	128.027	102.800	-21.479
298.15	30.697	230.901	230.901	0.	127.612	97.978	-17.165
300	30.726	231.091	230.902	0.057	127.596	97.795	-17.028
350	31.510	235.886	231.278	1.613	127.147	92.863	-13.859
400	32.258	240.143	232.125	3.207	126.696	87.996	-11.491
450	32.931	243.982	233.233	4.837	126.246	83.186	-9.656
500	33.520	247.483	234.486	6.499	125.798	78.425	-8.193
600	34.459	253.682	237.182	9.900	124.898	69.035	-6.010
700	35.147	259.048	239.931	13.382	123.977	59.797	-4.462
800	35.656	263.777	242.622	16.924	123.016	50.694	-3.310
900	36.040	267.999	245.211	20.509	121.997	41.714	-2.421
1000	36.337	271.813	247.684	24.129	120.914	32.851	-1.716
1100	36.571	275.287	250.038	27.775	119.758	24.100	-1.144
1200	36.761	278.478	252.276	31.442	118.517	15.458	-0.673
1300	36.919	281.427	254.407	35.126	117.184	6.923	-0.278
1400	37.053	284.168	256.436	38.825	115.748	-1.505	0.056
1500	37.171	286.728	258.371	42.536	114.208	-9.827	0.342
1600	37.279	289.131	260.219	46.258	112.565	-18.043	0.589
1700	37.382	291.394	261.987	49.992	110.808	-26.153	0.804
1800	37.484	293.533	263.681	53.735	108.933	-34.156	0.991
1900	37.588	295.563	265.306	57.488	106.930	-42.052	1.156
2000	37.699	297.494	266.867	61.253	104.792	-49.838	1.302
2100	37.819	299.336	268.370	65.029	102.508	-57.514	1.431
2200	37.950	301.098	269.818	68.817	77.190	-64.973	1.543
2300	38.093	302.788	271.215	72.619	74.457	-71.374	1.621
2400	38.251	304.413	272.564	76.436	71.727	-77.656	1.690
2500	38.424	305.978	273.870	80.270	69.003	-83.824	1.751
2600	38.612	307.488	275.134	84.121	66.286	-89.884	1.806
2700	38.815	308.949	276.359	87.992	63.578	-95.839	1.854
2800	39.033	310.365	277.549	91.885	60.881	-101.693	1.897
2900	39.266	311.738	278.704	95.800	58.197	-107.453	1.935
3000	39.512	313.074	279.828	99.738	55.527	-113.119	1.970
3100	39.771	314.374	280.921	103.702	52.872	-118.696	2.000
3200	40.041	315.640	281.986	107.693	50.236	-124.189	2.027
3300	40.321	316.877	283.025	111.711	47.618	-129.599	2.051
3400	40.609	318.085	284.038	115.757	45.020	-134.930	2.073
3500	40.905	319.266	285.028	119.833	42.443	-140.186	2.092
3600	41.206	320.423	285.995	123.939	39.889	-145.367	2.109
3700	41.512	321.556	286.941	128.075	-409.450	-149.278	2.107
3800	41.820	322.667	287.867	132.241	-410.271	-142.235	1.955
3900	42.130	323.757	288.773	136.439	-411.119	-135.170	1.810
4000	42.440	324.828	289.661	140.667	-411.995	-128.084	1.673
4100	42.749	325.880	290.532	144.927	-412.900	-120.975	1.541
4200	43.055	326.913	291.386	149.217	-413.834	-113.843	1.416
4300	43.358	327.930	292.224	153.537	-414.799	-106.689	1.296
4400	43.656	328.930	293.047	157.888	-415.795	-99.513	1.181
4500	43.948	329.915	293.855	162.268	-416.823	-92.313	1.072
4600	44.234	330.884	294.650	166.678	-417.886	-85.090	0.966
4700	44.514	331.838	295.431	171.115	-418.982	-77.844	0.865
4800	44.785	332.778	296.199	175.580	-420.115	-70.573	0.768
4900	45.048	333.704	296.955	180.072	-421.286	-63.279	0.675
5000	45.301	334.617	297.699	184.589	-422.495	-55.960	0.585
5100	45.546	335.516	298.432	189.132	-423.745	-48.617	0.498
5200	45.781	336.403	299.153	193.698	-425.036	-41.250	0.414
5300	46.006	337.277	299.865	198.288	-426.371	-33.856	0.334
5400	46.220	338.139	300.565	202.899	-427.752	-26.438	0.256
5500	46.424	338.989	301.256	207.531	-429.180	-18.993	0.180
5600	46.618	339.828	301.938	212.183	-430.658	-11.521	0.107
5700	46.802	340.654	302.610	216.855	-432.187	-4.024	0.037
5800	46.975	341.470	303.273	221.543	-433.769	3.502	-0.032
5900	47.137	342.274	303.927	226.249	-435.406	11.054	-0.098
6000	47.290	343.068	304.573	230.971	-437.102	18.636	-0.162
