Titanium Oxide, Rutile (TiO2)	O2Ti1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-8.636	-939.870	-939.870	INFINITE
100	18.502	10.142	89.638	-7.950	-942.649	-925.506	483.435
200	42.012	30.807	54.969	-4.833	-944.360	-907.579	237.035
298.15	55.103	50.292	50.292	0.000	-944.747	-889.406	155.820
300	55.287	50.633	50.293	0.102	-944.746	-889.063	154.800
400	62.835	67.671	52.564	6.043	-944.390	-870.541	113.681
500	67.203	82.201	57.077	12.562	-943.670	-852.157	89.024
600	69.931	94.712	62.331	19.429	-942.789	-833.936	72.601
700	71.764	105.638	67.754	26.519	-941.841	-815.868	60.881
800	73.078	115.311	73.106	33.764	-940.857	-797.939	52.100
900	74.057	123.977	78.285	41.122	-939.896	-780.132	45.278
1000	74.852	131.822	83.253	48.569	-939.032	-762.428	39.825
1100	75.479	138.986	87.999	56.086	-938.339	-744.803	35.368
1200	76.023	145.577	92.526	63.662	-941.807	-727.113	31.650
1300	76.525	151.683	96.844	71.290	-940.742	-709.265	28.499
1400	76.944	157.370	100.967	78.964	-939.741	-691.497	25.800
1500	77.320	162.691	104.906	86.677	-938.819	-673.798	23.464
1600	77.655	167.692	108.676	94.426	-937.992	-656.158	21.421
1700	77.990	172.410	112.287	102.209	-937.274	-638.566	19.621
1800	78.283	176.876	115.753	110.022	-936.679	-621.013	18.021
1900	78.576	181.117	119.082	117.865	-936.224	-603.489	16.591
2000	78.868	185.155	122.286	125.738	-950.606	-585.531	15.293
2100	79.161	189.010	125.372	133.640	-951.213	-567.263	14.110
2130.000	79.228	190.133	126.276	136.016	CRYSTAL <--> LIQUID
2200	79.412	192.698	128.349	141.568	951.817  548.964 13.034
2300	79.663	196.234	131.224	149.522	-952.417	-530.640	12.051
2400	79.914	199.630	134.004	157.501	-953.015	-512.289	11.150
2500	80.165	202.897	136.695	165.505	-953.610	-493.913	10.320
