Phosphorus (P)	P1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-6.197	315.553	315.553	INFINITE
100	20.786	140.490	181.678	-4.119	316.744	304.464	-159.036
200	20.786	154.898	165.099	-2.040	316.559	292.005	-76.264
250	20.786	159.536	163.540	-1.001	316.507	285.871	-59.729
298.15	20.786	163.198	163.198	0.	316.390	279.980	-49.051
300	20.786	163.326	163.198	0.038	316.384	279.754	-48.709
350	20.786	166.530	163.451	1.078	315.488	273.733	-40.852
400	20.786	169.306	164.013	2.117	315.211	267.787	-34.969
450	20.786	171.754	164.740	3.156	314.934	261.876	-30.398
500	20.786	173.944	165.553	4.196	314.657	255.996	-26.744
600	20.786	177.734	167.277	6.274	314.103	244.315	-21.270
700	20.786	180.938	169.005	8.353	313.549	232.728	-17.366
800	20.786	183.714	170.674	10.431	312.995	221.220	-14.444
900	20.786	186.162	172.262	12.510	312.441	209.781	-12.175
1000	20.786	188.352	173.763	14.589	311.887	198.404	-10.364
1100	20.788	190.333	175.181	16.667	311.333	187.083	-8.884
1200	20.791	192.142	176.520	18.746	247.207	176.890	-7.700
1300	20.797	193.806	177.787	20.826	247.429	171.021	-6.872
1400	20.810	195.348	178.987	22.906	247.647	165.135	-6.161
1500	20.831	196.785	180.126	24.988	247.862	159.234	-5.545
1600	20.865	198.130	181.210	27.073	248.076	153.319	-5.005
1700	20.914	199.396	182.242	29.161	248.291	147.390	-4.529
1800	20.981	200.593	183.229	31.256	248.510	141.448	-4.105
1900	21.068	201.730	184.173	33.358	248.733	135.494	-3.725
2000	21.178	202.813	185.078	35.470	248.964	129.528	-3.383
2100	21.312	203.850	185.948	37.595	249.205	123.551	-3.073
2200	21.471	204.845	186.784	39.734	249.458	117.561	-2.791
2300	21.653	205.803	187.590	41.890	249.727	111.560	-2.534
2400	21.859	206.729	188.369	44.065	250.013	105.547	-2.297
2500	22.088	207.626	189.121	46.262	250.320	99.521	-2.079
2600	22.337	208.497	189.850	48.483	250.648	93.483	-1.878
2700	22.605	209.345	190.556	50.730	251.001	87.431	-1.691
2800	22.890	210.172	191.242	53.005	251.380	81.366	-1.518
2900	23.189	210.981	191.909	55.309	251.786	75.287	-1.356
3000	23.500	211.772	192.558	57.643	252.222	69.194	-1.205
3100	23.821	212.548	193.190	60.009	252.688	63.085	-1.063
3200	24.148	213.309	193.807	62.407	253.185	56.961	-0.930
3300	24.480	214.057	194.409	64.839	253.713	50.821	-0.804
3400	24.814	214.793	194.998	67.303	254.273	44.664	-0.686
3500	25.148	215.517	195.574	69.802	254.866	38.491	-0.574
3600	25.480	216.230	196.138	72.333	255.490	32.300	-0.469
3700	25.808	216.933	196.690	74.897	256.146	26.091	-0.368
3800	26.129	217.625	197.232	77.494	256.834	19.864	-0.273
3900	26.444	218.308	197.764	80.123	257.552	13.619	-0.182
4000	26.749	218.982	198.286	82.783	258.299	7.355	-0.096
4100	27.045	219.646	198.799	85.473	259.076	1.072	-0.014
4200	27.329	220.301	199.303	88.191	259.880	-5.231	0.065
4300	27.601	220.947	199.799	90.938	260.711	-11.553	0.140
4400	27.860	221.585	200.287	93.711	261.567	-17.894	0.212
4500	28.106	222.214	200.767	96.510	262.447	-24.255	0.282
4600	28.338	222.834	201.240	99.332	263.350	-30.637	0.348
4700	28.555	223.446	201.706	102.177	264.274	-37.037	0.412
4800	28.758	224.049	202.165	105.042	265.218	-43.458	0.473
4900	28.947	224.644	202.618	107.928	266.180	-49.899	0.532
5000	29.121	225.231	203.064	110.831	267.160	-56.360	0.589
5100	29.281	225.809	203.505	113.752	268.154	-62.840	0.644
5200	29.426	226.379	203.939	116.687	269.163	-69.340	0.697
5300	29.557	226.941	204.368	119.636	270.185	-75.859	0.748
5400	29.675	227.494	204.791	122.598	271.218	-82.398	0.797
5500	29.779	228.040	205.209	125.571	272.260	-88.956	0.845
5600	29.871	228.577	205.621	128.553	273.311	-95.533	0.891
5700	29.950	229.107	206.029	131.545	274.370	-102.129	0.936
5800	30.016	229.628	206.431	134.543	275.435	-108.743	0.979
5900	30.072	230.142	206.828	137.547	276.505	-115.376	1.021
6000	30.116	230.647	207.221	140.557	277.578	-122.027	1.062
