Rubidium, Ion (Rb+)	Rb1+(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-6.197	485.224				
100	20.786	141.623	182.810	-4.119						
200	20.786	156.031	166.231	-2.040						
250	20.786	160.669	164.672	-1.001						
298.15	20.786	164.330	164.330	0.	490.129	457.771	-80.200
300	20.786	164.459	164.330	0.038	490.148	457.570	-79.670
350	20.786	167.663	164.583	1.078	488.429	452.364	-67.512
400	20.786	170.438	165.146	2.117	488.914	447.179	-58.396
450	20.786	172.887	165.872	3.156	489.414	441.933	-51.298
500	20.786	175.077	166.685	4.196	489.927	436.630	-45.614
600	20.786	178.866	168.409	6.274	490.983	425.871	-37.075
700	20.786	182.071	170.138	8.353	492.066	414.934	-30.963
800	20.786	184.846	171.807	10.431	493.157	403.841	-26.368
900	20.786	187.294	173.394	12.510	494.241	392.611	-22.787
1000	20.786	189.484	174.896	14.589	423.818	383.448	-20.029
1100	20.786	191.465	176.313	16.667	425.896	379.310	-18.012
1200	20.786	193.274	177.653	18.746	427.975	374.984	-16.323
1300	20.786	194.938	178.919	20.824	430.053	370.483	-14.886
1400	20.786	196.478	180.119	22.903	432.131	365.823	-13.649
1500	20.786	197.912	181.258	24.982	434.209	361.014	-12.572
1600	20.786	199.254	182.341	27.060	436.285	356.067	-11.624
1700	20.786	200.514	183.374	29.139	438.358	350.990	-10.785
1800	20.786	201.702	184.359	31.217	440.429	345.791	-10.035
1900	20.786	202.826	185.302	33.296	442.495	340.477	-9.360
2000	20.786	203.892	186.205	35.375	444.555	335.054	-8.751
2100	20.786	204.906	187.071	37.453	446.606	329.528	-8.197
2200	20.786	205.873	187.904	39.532	448.646	323.906	-7.690
2300	20.786	206.797	188.706	41.610	450.673	318.190	-7.226
2400	20.786	207.682	189.478	43.689	452.684	312.387	-6.799
2500	20.786	208.530	190.223	45.768	454.675	306.500	-6.404
2600	20.786	209.346	190.943	47.846	456.643	300.534	-6.038
2700	20.786	210.130	191.639	49.925	458.586	294.493	-5.697
2800	20.786	210.886	192.313	52.004	460.498	288.380	-5.380
2900	20.786	211.615	192.966	54.082	462.376	282.200	-5.083
3000	20.786	212.320	193.600	56.161	464.215	275.955	-4.805
3100	20.786	213.002	194.215	58.239	466.011	269.650	-4.544
3200	20.786	213.662	194.812	60.318	467.759	263.288	-4.298
3300	20.786	214.301	195.393	62.397	469.469	256.871	-4.066
3400	20.786	214.922	195.959	64.475	471.113	250.404	-3.847
3500	20.786	215.524	196.509	66.554	472.694	243.889	-3.640
3600	20.786	216.110	197.045	68.632	474.215	237.330	-3.444
3700	20.786	216.679	197.568	70.711	475.658	230.729	-3.257
3800	20.786	217.234	198.079	72.790	477.024	224.091	-3.080
3900	20.786	217.774	198.577	74.868	478.307	217.418	-2.912
4000	20.786	218.300	199.063	76.947	479.515	210.712	-2.752
4100	20.786	218.813	199.539	79.025	480.619	203.978	-2.599
4200	20.786	219.314	200.004	81.104	481.623	197.218	-2.453
4300	20.786	219.803	200.458	83.183	482.524	190.436	-2.313
4400	20.786	220.281	200.904	85.261	483.613	183.603	-2.180
4500	20.786	220.748	201.339	87.340	484.491	176.763	-2.052
4600	20.786	221.205	201.766	89.418	485.186	169.914	-1.929
4700	20.786	221.652	202.185	91.497	485.759	163.054	-1.812
4800	20.786	222.090	202.595	93.576	486.227	156.183	-1.700
4900	20.786	222.518	202.997	95.654	486.589	149.303	-1.592
5000	20.786	222.938	203.392	97.733	487.097	142.386	-1.487
5100	20.786	223.350	203.779	99.811	487.289	135.490	-1.388
5200	20.786	223.753	204.159	101.890	487.379	128.591	-1.292
5300	20.786	224.149	204.533	103.969	487.370	121.691	-1.199
5400	20.786	224.538	204.900	106.047	487.262	114.792	-1.110
5500	20.786	224.919	205.260	108.126	487.058	107.896	-1.025
5600	20.786	225.294	205.614	110.204	487.144	100.950	-0.942
5700	20.786	225.662	205.963	112.283	486.804	94.057	-0.862
5800	20.786	226.023	206.306	114.362	486.381	87.170	-0.785
5900	20.786	226.379	206.643	116.440	485.879	80.291	-0.711
6000	20.786	226.728	206.975	118.519	485.302	73.422	-0.639
