Tantalum, Ion (Ta-)	Ta1-(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-6.416	750.403				
100	20.787	150.978	194.351	-4.337						
200	21.456	165.484	176.691	-2.241						
250	22.780	170.401	174.954	-1.138						
298.15	24.558	174.560	174.560	0.	744.941	711.515	-124.654
300	24.632	174.712	174.561	0.045	744.901	711.308	-123.850
350	26.631	178.660	174.868	1.327	743.870	705.791	-105.334
400	28.486	182.340	175.575	2.706	742.924	700.417	-91.465
450	30.041	185.788	176.520	4.171	742.051	695.157	-80.692
500	31.236	189.018	177.610	5.704	741.234	689.991	-72.083
600	32.583	194.852	180.009	8.906	739.697	679.888	-59.189
700	32.816	199.904	182.499	12.184	738.192	670.038	-49.999
800	32.336	204.261	184.954	15.446	736.642	660.407	-43.120
900	31.479	208.022	187.313	18.638	735.000	650.975	-37.782
1000	30.476	211.288	189.551	21.737	733.240	641.732	-33.521
1100	29.464	214.145	191.660	24.733	731.348	632.672	-30.043
1200	28.511	216.667	193.641	27.631	729.320	623.790	-27.153
1300	27.649	218.914	195.500	30.439	727.165	615.082	-24.714
1400	26.885	220.935	197.246	33.164	724.902	606.545	-22.630
1500	26.216	222.766	198.887	35.819	722.551	598.172	-20.830
1600	25.633	224.439	200.432	38.411	720.127	589.959	-19.260
1700	25.127	225.977	201.890	40.948	717.631	581.900	-17.880
1800	24.688	227.401	203.269	43.438	715.053	573.989	-16.657
1900	24.306	228.725	204.574	45.887	712.384	566.225	-15.567
2000	23.972	229.963	205.813	48.301	709.626	558.603	-14.589
2100	23.680	231.126	206.991	50.683	706.785	551.122	-13.708
2200	23.424	232.221	208.113	53.038	703.863	543.777	-12.911
2300	23.199	233.258	209.184	55.369	700.862	536.568	-12.186
2400	23.000	234.241	210.208	57.679	697.779	529.490	-11.524
2500	22.823	235.176	211.188	59.970	694.611	522.543	-10.918
2600	22.666	236.068	212.128	62.244	691.351	515.724	-10.361
2700	22.525	236.921	213.030	64.504	687.990	509.033	-9.848
2800	22.399	237.737	213.898	66.750	684.517	502.468	-9.374
2900	22.286	238.521	214.734	68.984	680.918	496.029	-8.934
3000	22.184	239.275	215.539	71.207	677.180	489.717	-8.527
3100	22.091	240.001	216.317	73.421	673.283	483.532	-8.147
3200	22.008	240.701	217.068	75.626	669.208	477.476	-7.794
3300	21.931	241.377	217.794	77.823	628.478	472.020	-7.471
3400	21.862	242.031	218.498	80.012	624.405	467.340	-7.180
3500	21.799	242.664	219.179	82.195	620.325	462.780	-6.907
3600	21.740	243.277	219.840	84.372	616.239	458.337	-6.650
3700	21.687	243.872	220.482	86.543	612.148	454.007	-6.409
3800	21.638	244.449	221.105	88.710	608.052	449.787	-6.183
3900	21.593	245.011	221.711	90.871	603.951	445.676	-5.969
4000	21.551	245.557	222.300	93.028	599.845	441.670	-5.768
4100	21.512	246.089	222.874	95.182	595.736	437.766	-5.577
4200	21.476	246.607	223.433	97.331	591.623	433.963	-5.397
4300	21.443	247.112	223.977	99.477	587.506	430.258	-5.227
4400	21.412	247.604	224.509	101.620	583.386	426.649	-5.065
4500	21.383	248.085	225.027	103.759	579.263	423.133	-4.912
4600	21.356	248.555	225.534	105.896	575.138	419.709	-4.766
4700	21.331	249.014	226.029	108.031	571.009	416.375	-4.627
4800	21.307	249.463	226.512	110.163	566.879	413.128	-4.496
4900	21.285	249.902	226.985	112.292	562.746	409.968	-4.370
5000	21.264	250.332	227.448	114.420	558.610	406.892	-4.251
5100	21.245	250.752	227.900	116.545	554.473	403.898	-4.137
5200	21.227	251.165	228.344	118.669	550.334	400.986	-4.028
5300	21.209	251.569	228.778	120.790	546.193	398.154	-3.924
5400	21.193	251.965	229.204	122.911	542.051	395.399	-3.825
5500	21.178	252.354	229.621	125.029	537.907	392.722	-3.730
5600	21.163	252.735	230.031	127.146	533.761	390.120	-3.639
5700	21.149	253.110	230.432	129.262	529.614	387.591	-3.552
5800	21.136	253.478	230.827	131.376	-213.289	387.937	-3.494
5900	21.124	253.839	231.214	133.489	-217.652	398.340	-3.527
6000	21.112	254.194	231.594	135.601	-222.060	408.818	-3.559
