Vanadium (V)	V1(ref)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-4.640	0.	0.	0.
100	13.119	7.185	48.695	-4.151	0.	0.	0.
200	21.876	19.558	31.133	-2.315	0.	0.	0.
298.15	24.896	28.936	28.936	0.	0.	0.	0.
300	24.928	29.090	28.936	0.046	0.	0.	0.
400	26.234	36.459	29.932	2.611	0.	0.	0.
500	26.945	42.392	31.850	5.271	0.	0.	0.
600	27.489	47.353	34.032	7.993	0.	0.	0.
700	28.033	51.630	36.247	10.768	0.	0.	0.
800	28.660	55.413	38.411	13.602	0.	0.	0.
900	29.372	58.830	40.493	16.504	0.	0.	0.
1000	30.083	61.961	42.485	19.476	0.	0.	0.
1100	30.878	64.864	44.389	22.523	0.	0.	0.
1200	31.798	67.590	46.210	25.656	0.	0.	0.
1300	32.740	70.172	47.955	28.882	0.	0.	0.
1400	33.807	72.638	49.630	32.210	0.	0.	0.
1500	34.811	75.004	51.244	35.640	0.	0.	0.
1600	35.857	77.283	52.800	39.173	0.	0.	0.
1700	37.028	79.492	54.306	42.817	0.	0.	0.
1800	38.200	81.641	55.765	46.577	0.	0.	0.
1900	39.539	83.742	57.182	50.464	0.	0.	0.
2000	40.920	85.805	58.562	54.485	0.	0.	0.
2100	42.468	87.837	59.908	58.652	0.	0.	0.
2190.000	44.141	89.653	61.093	62.547	CRYSTAL <--> LIQUID
2190.000	46.204	100.085	61.093	85.392	TRANSITION
2200	46.204	100.295	61.271	85.854	0.	0.	0.
2300	46.204	102.349	63.012	90.474	0.	0.	0.
2400	46.204	104.315	64.693	95.095	0.	0.	0.
2500	46.204	106.202	66.316	99.715	0.	0.	0.
2600	46.204	108.014	67.885	104.335	0.	0.	0.
2700	46.204	109.757	69.403	108.956	0.	0.	0.
2800	46.204	111.438	70.875	113.576	0.	0.	0.
2900	46.204	113.059	72.302	118.197	0.	0.	0.
3000	46.204	114.626	73.687	122.817	0.	0.	0.
3100	46.204	116.141	75.032	127.437	0.	0.	0.
3200	46.204	117.607	76.339	132.058	0.	0.	0.
3300	46.204	119.029	77.612	136.678	0.	0.	0.
3400	46.204	120.409	78.850	141.299	0.	0.	0.
3500	46.204	121.748	80.057	145.919	0.	0.	0.
3600	46.204	123.049	81.233	150.539	0.	0.	0.
3690.080	46.204	124.191	82.268	154.701	LIQUID <--> IDEAL GAS
3690.080	29.042	245.321	82.268	601.678	FUGACITY = 1 bar
3700	29.090	245.399	82.705	601.967	0.	0.	0.
3800	29.591	246.181	86.997	604.901	0.	0.	0.
3900	30.105	246.956	91.088	607.885	0.	0.	0.
4000	30.631	247.725	94.995	610.922	0.	0.	0.
4100	31.166	248.488	98.729	614.012	0.	0.	0.
4200	31.710	249.246	102.304	617.156	0.	0.	0.
4300	32.260	249.998	105.730	620.354	0.	0.	0.
4400	32.817	250.746	109.017	623.608	0.	0.	0.
4500	33.379	251.490	112.175	626.918	0.	0.	0.
4600	33.946	252.230	115.211	630.284	0.	0.	0.
4700	34.517	252.966	118.135	633.707	0.	0.	0.
4800	35.093	253.699	120.951	637.187	0.	0.	0.
4900	35.672	254.428	123.668	640.726	0.	0.	0.
5000	36.255	255.155	126.290	644.322	0.	0.	0.
5100	36.843	255.878	128.824	647.977	0.	0.	0.
5200	37.435	256.600	131.274	651.691	0.	0.	0.
5300	38.031	257.318	133.646	655.464	0.	0.	0.
5400	38.632	258.035	135.943	659.297	0.	0.	0.
5500	39.238	258.749	138.169	663.190	0.	0.	0.
5600	39.849	259.462	140.329	667.144	0.	0.	0.
5700	40.465	260.172	142.425	671.160	0.	0.	0.
5800	41.087	260.881	144.461	675.237	0.	0.	0.
5900	41.712	261.589	146.440	679.376	0.	0.	0.
6000	42.343	262.295	148.365	683.579	0.	0.	0.
