Xenon, Ion (Xe+)	Xe1+(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-6.197	1170.355				
100	20.786	158.503	199.690	-4.119						
200	20.786	172.910	183.111	-2.040						
250	20.786	177.549	181.552	-1.001						
298.15	20.786	181.210	181.210	0.	1176.552	1166.861	-204.429
300	20.786	181.338	181.210	0.038	1176.591	1166.801	-203.158
350	20.786	184.543	181.463	1.078	1177.630	1165.087	-173.880
400	20.786	187.318	182.026	2.117	1178.669	1163.224	-151.902
450	20.786	189.766	182.752	3.156	1179.709	1161.231	-134.792
500	20.786	191.957	183.565	4.196	1180.748	1159.123	-121.093
600	20.786	195.746	185.289	6.274	1182.826	1154.602	-100.517
700	20.786	198.950	187.018	8.353	1184.905	1149.734	-85.794
800	20.786	201.726	188.687	10.431	1186.984	1144.568	-74.733
900	20.786	204.174	190.274	12.510	1189.062	1139.141	-66.114
1000	20.786	206.364	191.776	14.589	1191.141	1133.483	-59.207
1100	20.787	208.345	193.193	16.667	1193.220	1127.616	-53.546
1200	20.788	210.154	194.532	18.746	1195.298	1121.561	-48.820
1300	20.791	211.818	195.799	20.825	1197.377	1115.331	-44.815
1400	20.796	213.359	196.999	22.904	1199.457	1108.942	-41.375
1500	20.803	214.794	198.138	24.984	1201.536	1102.404	-38.389
1600	20.815	216.137	199.221	27.065	1203.617	1095.728	-35.772
1700	20.830	217.399	200.254	29.147	1205.700	1088.921	-33.458
1800	20.851	218.591	201.240	31.231	1207.784	1081.991	-31.399
1900	20.877	219.719	202.183	33.318	1209.870	1074.946	-29.552
2000	20.908	220.790	203.087	35.407	1211.959	1067.791	-27.888
2100	20.945	221.811	203.954	37.499	1214.052	1060.531	-26.379
2200	20.987	222.787	204.788	39.596	1216.148	1053.171	-25.005
2300	21.033	223.720	205.591	41.697	1218.249	1045.716	-23.749
2400	21.085	224.617	206.366	43.803	1220.355	1038.170	-22.595
2500	21.141	225.479	207.113	45.914	1222.466	1030.535	-21.532
2600	21.200	226.309	207.835	48.031	1224.583	1022.816	-20.549
2700	21.262	227.110	208.534	50.154	1226.706	1015.016	-19.637
2800	21.326	227.884	209.212	52.283	1228.836	1007.136	-18.788
2900	21.392	228.634	209.869	54.419	1230.972	999.181	-17.997
3000	21.460	229.360	210.506	56.562	1233.114	991.152	-17.257
3100	21.528	230.065	211.126	58.711	1235.264	983.051	-16.564
3200	21.596	230.750	211.729	60.868	1237.420	974.880	-15.913
3300	21.664	231.415	212.315	63.031	1239.583	966.643	-15.301
3400	21.732	232.063	212.886	65.200	1241.753	958.339	-14.723
3500	21.798	232.694	213.443	67.377	1243.929	949.972	-14.178
3600	21.863	233.309	213.987	69.560	1246.112	941.542	-13.661
3700	21.927	233.909	214.517	71.749	1248.302	933.052	-13.172
3800	21.988	234.494	215.035	73.945	1250.497	924.502	-12.708
3900	22.048	235.066	215.541	76.147	1252.699	915.895	-12.267
4000	22.105	235.625	216.037	78.355	1254.907	907.230	-11.847
4100	22.160	236.172	216.521	80.568	1257.120	898.511	-11.447
4200	22.213	236.706	216.995	82.787	1259.339	889.738	-11.066
4300	22.263	237.230	217.460	85.011	1261.563	880.911	-10.701
4400	22.311	237.742	217.915	87.239	1263.791	872.033	-10.352
4500	22.356	238.244	218.361	89.473	1266.025	863.105	-10.019
4600	22.398	238.736	218.799	91.710	1268.263	854.126	-9.699
4700	22.438	239.218	219.228	93.952	1270.504	845.099	-9.392
4800	22.476	239.691	219.649	96.198	1272.750	836.024	-9.098
4900	22.511	240.154	220.063	98.447	1274.999	826.902	-8.815
5000	22.543	240.610	220.470	100.700	1277.252	817.735	-8.543
5100	22.573	241.056	220.869	102.956	1279.508	808.522	-8.281
5200	22.601	241.495	221.261	105.214	1281.767	799.265	-8.029
5300	22.626	241.926	221.647	107.476	1284.028	789.964	-7.786
5400	22.650	242.349	222.027	109.740	1286.292	780.621	-7.551
5500	22.671	242.765	222.400	112.006	1288.558	771.236	-7.325
5600	22.690	243.173	222.767	114.274	1290.826	761.810	-7.106
5700	22.707	243.575	223.129	116.544	1293.096	752.343	-6.894
5800	22.722	243.970	223.485	118.815	1295.367	742.836	-6.690
5900	22.736	244.359	223.835	121.088	1297.640	733.290	-6.492
6000	22.747	244.741	224.180	123.362	1299.914	723.706	-6.300
