T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     423.555                 -1275.111             
200     357.611                 -1280.454             
250     350.567                 -1282.641             
298.15  348.929                 -1284.488             
300     348.931                 -1284.554             
350     350.238                 -1286.183             
400     353.272                 -1287.553             
450     357.367                 -1288.695             
500     362.128                 -1289.632             
600     372.747                 -1290.991             
700     383.998                 -1291.794             
800     395.362                 -1292.160             
900     406.588                 -1292.177             
1000    417.551                 -1291.914             
1100    428.195                 -1291.427             
1200    438.496                 -1290.767             
1300    448.450                 -1289.975             
1400    458.062                 -1289.089             
1500    467.345                 -1288.140             
1600    476.312                 -1287.156             
1700    484.977                 -1286.158             
1800    493.356                 -1285.167             
1900    501.465                 -1284.199             
2000    509.317                 -1283.268             
2100    516.926                 -1282.385             
2200    524.305                 -1281.560             
2300    531.467                 -1280.802             
2400    538.422                 -1380.634             
2500    545.182                 -1380.183             
2600    551.756                 -1379.750             
2700    558.154                 -1379.339             
2800    564.384                 -1378.953             
2900    570.455                 -1378.597             
3000    576.375                 -1378.271             
3100    582.149                 -1377.978             
3200    587.785                 -1377.720             
3300    593.290                 -1377.497             
3400    598.668                 -1377.311             
3500    603.926                 -1377.163             
3600    609.068                 -1377.053             
3700    614.100                 -1376.981             
3800    619.025                 -1376.950             
3900    623.849                 -1376.957             
4000    628.575                 -1377.005             
4100    633.207                 -1377.094             
4200    637.748                 -2336.923             
4300    642.203                 -2334.920             
4400    646.573                 -2332.962             
4500    650.863                 -2331.051             
4600    655.075                 -2329.187             
4700    659.212                 -2327.371             
4800    663.276                 -2325.605             
4900    667.271                 -2323.889             
5000    671.197                 -2322.225             
5100    675.058                 -2320.613             
5200    678.856                 -2319.054             
5300    682.592                 -2317.551             
5400    686.268                 -2316.104             
5500    689.888                 -2314.714             
5600    693.451                 -2313.383             
5700    696.960                 -2312.112             
5800    700.416                 -2310.902             
5900    703.822                 -2309.754             
6000    707.178                 -2308.671             
