T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     535.415                 -1163.122             
200     429.062                 -1164.889             
250     418.085                 -1164.646             
298.15  415.601                 -1163.989             
300     415.604                 -1163.957             
350     417.503                 -1162.969             
400     421.795                 -1161.796             
450     427.427                 -1160.519             
500     433.805                 -1159.192             
600     447.530                 -1156.521             
700     461.497                 -1153.947             
800     475.132                 -1151.527             
900     488.213                 -1149.279             
1000    500.669                 -1147.203             
1100    512.496                 -1145.294             
1200    523.719                 -1143.547             
1300    534.374                 -1141.956             
1400    544.503                 -1140.519             
1500    554.145                 -1139.234             
1600    563.338                 -1138.101             
1700    572.117                 -1137.121             
1800    580.516                 -1136.295             
1900    588.562                 -1135.623             
2000    596.283                 -1135.109             
2100    603.703                 -1134.753             
2200    610.842                 -1134.556             
2300    617.721                 -1134.519             
2400    624.357                 -1134.644             
2500    630.766                 -1134.929             
2600    636.963                 -1135.368             
2700    642.960                 -1136.015             
2800    648.771                 -1136.937             
2900    654.405                 -1138.213             
3000    659.874                 -1139.894             
3100    665.187                 -1142.066             
3200    670.351                 -1144.789             
3300    675.375                 -1148.112             
3400    680.267                 -1152.105             
3500    685.032                 -1156.894             
3600    689.678                 -1162.669             
3700    694.210                 -1239.161             
3800    698.633                 -1240.331             
3900    702.953                 -1241.541             
4000    707.174                 -1242.790             
4100    711.300                 -1244.078             
4200    715.336                 -1245.402             
4300    719.285                 -1246.762             
4400    723.152                 -1248.159             
4500    726.939                 -1249.591             
4600    730.649                 -1251.059             
4700    734.287                 -1252.563             
4800    737.853                 -1254.104             
4900    741.352                 -1255.683             
5000    744.786                 -1257.300             
5100    748.156                 -1258.958             
5200    751.466                 -1260.656             
5300    754.717                 -1262.398             
5400    757.912                 -1264.187             
5500    761.052                 -1266.022             
5600    764.139                 -1267.907             
5700    767.176                 -1269.846             
5800    770.162                 -1271.840             
5900    773.101                 -1273.892             
6000    775.994                 -1276.007             
