T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     261.717                 -492.185              
200     189.044                 -493.176              
298.15  180.216                 -511.285              
300     180.218                 -511.353              
400     186.625                 -543.136              
500     200.833                 -538.810              
600     214.498                 -534.628              
700     227.249                 -530.587              
800     239.051                 -526.700              
900     249.970                 -522.990              
1000    260.097                 -530.070              
1100    269.521                 -526.424              
1200    278.322                 -522.790              
1300    286.571                 -519.170              
1400    294.329                 -515.562              
1500    301.648                 -511.969              
