T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     412.068                 -387.381              
200     356.177                 -390.119              
250     350.669                 -391.887              
298.15  349.441                 -410.450              
300     349.442                 -410.566              
350     350.367                 -456.958              
400     352.443                 -457.086              
450     355.147                 -457.209              
500     358.193                 -457.333              
600     364.707                 -457.604              
700     371.293                 -457.942              
800     377.691                 -458.387              
900     383.806                 -458.977              
1000    389.612                 -470.334              
1100    395.112                 -470.948              
1200    400.321                 -471.561              
1300    405.258                 -472.178              
1400    409.944                 -472.800              
1500    414.399                 -473.431              
1600    418.643                 -474.071              
1700    422.692                 -474.725              
1800    426.562                 -475.395              
1900    430.267                 -476.084              
2000    433.820                 -476.796              
2100    437.232                 -477.534              
2200    440.513                 -478.299              
2300    443.673                 -479.095              
2400    446.720                 -479.923              
2500    449.662                 -480.783              
2600    452.505                 -481.677              
2700    455.256                 -482.603              
2800    457.920                 -777.462              
2900    460.503                 -777.353              
3000    463.009                 -777.272              
3100    465.443                 -777.214              
3200    467.808                 -777.177              
3300    470.109                 -777.157              
3400    472.348                 -777.150              
3500    474.529                 -777.154              
3600    476.655                 -777.163              
3700    478.728                 -777.174              
3800    480.752                 -777.184              
3900    482.728                 -777.188              
4000    484.658                 -777.185              
4100    486.544                 -777.171              
4200    488.389                 -777.144              
4300    490.195                 -777.102              
4400    491.962                 -777.042              
4500    493.693                 -776.960              
4600    495.388                 -776.860              
4700    497.050                 -776.738              
4800    498.679                 -776.595              
4900    500.277                 -776.428              
5000    501.846                 -776.239              
5100    503.385                 -776.028              
5200    504.896                 -775.795              
5300    506.381                 -775.540              
5400    507.840                 -775.265              
5500    509.273                 -774.970              
5600    510.682                 -774.656              
5700    512.068                 -774.325              
5800    513.432                 -773.975              
5900    514.773                 -773.613              
6000    516.093                 -773.215              
