T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     372.957                 -583.698              
200     320.862                 -584.215              
250     315.662                 -584.420              
298.15  314.494                 -584.588              
300     314.496                 -584.594              
350     315.381                 -584.748              
400     317.375                 -584.888              
450     319.983                 -585.021              
500     322.930                 -585.152              
600     329.255                 -585.435              
700     335.677                 -585.779              
800     341.936                 -586.227              
900     347.932                 -586.816              
1000    353.637                 -598.170              
1100    359.049                 -598.777              
1200    364.182                 -599.382              
1300    369.053                 -599.987              
1400    373.680                 -600.595              
1500    378.084                 -601.206              
1600    382.281                 -601.823              
1700    386.289                 -602.447              
1800    390.121                 -603.078              
1900    393.792                 -603.720              
2000    397.314                 -604.372              
2100    400.698                 -605.038              
2200    403.953                 -605.719              
2300    407.089                 -606.418              
2400    410.114                 -607.137              
2500    413.036                 -607.877              
2600    415.860                 -608.642              
2700    418.593                 -609.432              
2800    421.241                 -904.150              
2900    423.808                 -903.900              
3000    426.299                 -903.677              
3100    428.719                 -903.483              
3200    431.072                 -903.317              
3300    433.360                 -903.177              
3400    435.588                 -903.061              
3500    437.759                 -902.969              
3600    439.874                 -902.896              
3700    441.938                 -902.841              
3800    443.952                 -902.800              
3900    445.919                 -902.770              
4000    447.841                 -902.748              
4100    449.719                 -902.730              
4200    451.557                 -902.712              
4300    453.355                 -902.692              
4400    455.115                 -902.666              
4500    456.839                 -902.629              
4600    458.528                 -902.581              
4700    460.184                 -902.519              
4800    461.807                 -902.439              
4900    463.400                 -902.340              
5000    464.963                 -902.220              
5100    466.497                 -902.077              
5200    468.003                 -901.910              
5300    469.483                 -901.719              
5400    470.937                 -901.501              
5500    472.366                 -901.257              
5600    473.771                 -900.987              
5700    475.153                 -900.690              
5800    476.512                 -900.363              
5900    477.849                 -900.014              
6000    479.166                 -899.616              
