T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     350.065                 -997.199              
200     303.584                 -998.328              
250     298.897                 -998.774              
298.15  297.839                 -999.139              
300     297.841                 -999.152              
350     298.651                 -999.479              
400     300.485                 -999.766              
450     302.899                 -1000.025             
500     305.642                 -1000.265             
600     311.571                 -1000.724             
700     317.639                 -1001.209             
800     323.590                 -1001.773             
900     329.322                 -1002.462             
1000    334.797                 -1013.906             
1100    340.011                 -1014.596             
1200    344.970                 -1015.281             
1300    349.688                 -1015.966             
1400    354.181                 -1016.653             
1500    358.465                 -1017.346             
1600    362.554                 -1018.047             
1700    366.465                 -1018.755             
1800    370.210                 -1019.472             
1900    373.802                 -1020.197             
2000    377.251                 -1020.928             
2100    380.568                 -1021.664             
2200    383.763                 -1022.403             
2300    386.843                 -1023.143             
2400    389.816                 -1023.880             
2500    392.689                 -1024.613             
2600    395.468                 -1025.338             
2700    398.159                 -1026.054             
2800    400.768                 -1320.659             
2900    403.298                 -1320.252             
3000    405.756                 -1319.829             
3100    408.143                 -1319.386             
3200    410.465                 -1318.924             
3300    412.725                 -1318.438             
3400    414.926                 -1317.929             
3500    417.071                 -1317.394             
3600    419.162                 -1316.831             
3700    421.203                 -1316.241             
3800    423.195                 -1315.621             
3900    425.141                 -1314.972             
4000    427.043                 -1314.291             
4100    428.902                 -1313.579             
4200    430.722                 -1312.834             
4300    432.502                 -1312.057             
4400    434.246                 -1311.248             
4500    435.954                 -1310.403             
4600    437.628                 -1309.528             
4700    439.269                 -1308.621             
4800    440.879                 -1307.682             
4900    442.458                 -1306.710             
5000    444.007                 -1305.709             
5100    445.529                 -1304.678             
5200    447.023                 -1303.619             
5300    448.492                 -1302.531             
5400    449.934                 -1301.418             
5500    451.353                 -1300.279             
5600    452.747                 -1299.117             
5700    454.119                 -1297.932             
5800    455.469                 -1296.724             
5900    456.797                 -1295.500             
6000    458.104                 -1294.236             
