T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     301.626                 -692.688              
200     268.255                 -693.574              
250     264.952                 -694.073              
298.15  264.209                 -694.544              
300     264.210                 -694.562              
350     264.777                 -695.038              
400     266.059                 -695.503              
450     267.746                 -695.961              
500     269.662                 -696.417              
600     273.803                 -697.344              
700     278.040                 -698.330              
800     282.196                 -699.417              
900     286.199                 -700.644              
1000    290.025                 -712.635              
1100    293.667                 -713.880              
1200    297.132                 -715.124              
1300    300.429                 -716.371              
1400    303.569                 -717.622              
1500    306.563                 -718.879              
1600    309.422                 -720.143              
1700    312.156                 -721.415              
1800    314.774                 -722.693              
1900    317.285                 -723.977              
2000    319.697                 -725.264              
2100    322.016                 -726.553              
2200    324.250                 -727.840              
2300    326.404                 -729.121              
2400    328.483                 -730.394              
2500    330.492                 -731.656              
2600    332.436                 -732.902              
2700    334.318                 -734.129              
2800    336.143                 -1029.236             
2900    337.913                 -1029.321             
3000    339.632                 -1029.380             
3100    341.302                 -1029.408             
3200    342.927                 -1029.406             
3300    344.508                 -1029.370             
3400    346.048                 -1029.299             
3500    347.549                 -1029.193             
3600    349.012                 -1029.050             
3700    350.441                 -1028.869             
3800    351.835                 -1028.651             
3900    353.198                 -1028.395             
4000    354.529                 -1028.102             
4100    355.832                 -1027.770             
4200    357.106                 -1027.401             
4300    358.354                 -1026.996             
4400    359.576                 -1026.554             
4500    360.773                 -1026.074             
4600    361.947                 -1025.562             
4700    363.098                 -1025.016             
4800    364.227                 -1024.437             
4900    365.335                 -1023.826             
5000    366.424                 -1023.186             
5100    367.492                 -1022.517             
5200    368.542                 -1021.821             
5300    369.574                 -1021.099             
5400    370.589                 -1020.353             
5500    371.587                 -1019.584             
5600    372.568                 -1018.794             
5700    373.534                 -1017.985             
5800    374.485                 -1017.155             
5900    375.421                 -1016.312             
6000    376.343                 -1015.432             
