T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  260.046                 -907.928              
300     260.047                 -907.983              
350     260.622                 -909.465              
400     261.923                 -910.936              
450     263.633                 -912.402              
500     265.573                 -913.868              
600     269.765                 -916.824              
700     274.050                 -919.848              
800     278.248                 -922.980              
900     282.288                 -926.259              
1000    286.146                 -940.306              
1100    289.817                 -943.610              
1200    293.307                 -946.917              
1300    296.626                 -950.228              
1400    299.786                 -953.545              
1500    302.797                 -956.871              
1600    305.672                 -960.204              
1700    308.420                 -963.546              
1800    311.051                 -966.896              
1900    313.574                 -970.251              
2000    315.996                 -973.611              
2100    318.326                 -976.973              
2200    320.568                 -980.334              
2300    322.731                 -983.690              
2400    324.817                 -987.038              
2500    326.834                 -990.375              
2600    328.784                 -993.697              
2700    330.673                 -997.001              
2800    332.503                 -1294.186             
2900    334.279                 -1296.350             
3000    336.003                 -1298.488             
3100    337.678                 -1300.598             
3200    339.306                 -1302.678             
3300    340.892                 -1304.726             
3400    342.435                 -1306.741             
3500    343.939                 -1308.722             
3600    345.406                 -1310.668             
3700    346.838                 -1312.579             
3800    348.235                 -1314.455             
3900    349.600                 -1316.294             
4000    350.934                 -1318.098             
4100    352.238                 -1319.866             
4200    353.514                 -1321.600             
4300    354.764                 -1323.298             
4400    355.987                 -1324.963             
4500    357.185                 -1326.592             
4600    358.360                 -1328.190             
4700    359.512                 -1329.756             
4800    360.641                 -1331.292             
4900    361.750                 -1332.796             
5000    362.838                 -1334.273             
5100    363.907                 -1335.722             
5200    364.957                 -1337.145             
5300    365.989                 -1338.542             
5400    367.003                 -1339.916             
5500    368.000                 -1341.267             
5600    368.981                 -1342.597             
5700    369.946                 -1343.907             
5800    370.896                 -1345.195             
5900    371.832                 -1346.470             
6000    372.753                 -1347.706             
