T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  220.065                 692.034               
300     220.066                 692.056               
350     220.448                 692.646               
400     221.309                 693.219               
450     222.435                 693.778               
500     223.708                 694.326               
600     226.447                 695.383               
700     229.238                 696.365               
800     231.968                 697.247               
900     234.595                 698.001               
1000    237.106                 688.017               
1100    239.499                 688.816               
1200    241.780                 689.663               
1300    243.958                 690.562               
1400    246.039                 691.516               
1500    248.033                 692.525               
1600    249.945                 693.589               
1700    251.784                 694.705               
1800    253.555                 695.869               
1900    255.262                 697.078               
2000    256.912                 698.326               
2100    258.506                 699.611               
2200    260.050                 700.927               
2300    261.545                 702.270               
2400    262.996                 703.638               
2500    264.405                 705.027               
2600    265.773                 706.434               
2700    267.103                 707.859               
2800    268.397                 415.397               
2900    269.656                 417.945               
3000    270.883                 420.505               
3100    272.078                 423.076               
3200    273.244                 425.658               
3300    274.381                 428.249               
3400    275.490                 430.850               
3500    276.574                 433.460               
3600    277.632                 436.078               
3700    278.667                 438.705               
3800    279.678                 441.340               
3900    280.667                 443.982               
4000    281.635                 446.632               
4100    282.583                 449.288               
4200    283.511                 451.951               
4300    284.419                 454.620               
4400    285.310                 457.295               
4500    286.183                 459.978               
4600    287.039                 462.663               
4700    287.879                 465.352               
4800    288.703                 468.044               
4900    289.512                 470.741               
5000    290.306                 473.438               
5100    291.086                 476.136               
5200    291.852                 478.834               
5300    292.606                 481.532               
5400    293.346                 484.227               
5500    294.074                 486.920               
5600    294.790                 489.609               
5700    295.494                 492.292               
5800    296.187                 494.972               
5900    296.869                 497.642               
6000    297.541                 500.326               
