T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     213.828                 260.415               
200     190.540                 260.180               
250     188.346                 259.827               
298.15  187.864                 259.408               
300     187.864                 259.391               
350     188.223                 258.907               
400     189.023                 258.397               
450     190.064                 257.877               
500     191.236                 257.354               
600     193.751                 256.304               
700     196.312                 255.236               
800     198.822                 254.115               
900     201.244                 252.897               
1000    203.565                 240.954               
1100    205.783                 239.786               
1200    207.900                 238.643               
1300    209.922                 237.518               
1400    211.855                 236.403               
1500    213.704                 235.296               
1600    215.476                 234.191               
1700    217.176                 233.089               
1800    218.808                 231.985               
1900    220.379                 230.881               
2000    221.891                 229.775               
2100    223.350                 228.667               
2200    224.758                 227.556               
2300    226.119                 226.442               
2400    227.436                 225.326               
2500    228.712                 224.207               
2600    229.948                 223.086               
2700    231.148                 221.963               
2800    232.314                 -73.064               
2900    233.447                 -73.096               
3000    234.549                 -73.130               
3100    235.622                 -73.166               
3200    236.667                 -73.205               
3300    237.686                 -73.245               
3400    238.680                 -73.288               
3500    239.650                 -73.333               
3600    240.598                 -73.380               
3700    241.524                 -73.430               
3800    242.430                 -73.483               
3900    243.316                 -73.540               
4000    244.183                 -73.600               
4100    245.032                 -73.664               
4200    245.864                 -73.732               
4300    246.679                 -73.805               
4400    247.479                 -73.883               
4500    248.263                 -73.965               
4600    249.032                 -74.055               
4700    249.788                 -74.152               
4800    250.530                 -74.256               
4900    251.259                 -74.367               
5000    251.975                 -74.488               
5100    252.679                 -74.618               
5200    253.371                 -74.758               
5300    254.052                 -74.909               
5400    254.722                 -75.071               
5500    255.381                 -75.246               
5600    256.030                 -75.433               
5700    256.670                 -75.634               
5800    257.299                 -75.846               
5900    257.920                 -76.076               
6000    258.531                 -76.300               
