T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     438.424                 -188.118              
200     380.536                 -190.578              
250     374.875                 -191.946              
298.15  373.616                 -193.301              
300     373.617                 -193.354              
350     374.562                 -194.914              
400     376.676                 -220.475              
450     379.427                 -223.836              
500     382.520                 -287.387              
600     389.122                 -287.645              
700     395.784                 -287.978              
800     402.247                 -288.427              
900     408.417                 -289.027              
1000    414.271                 -300.403              
1100    419.811                 -301.045              
1200    425.054                 -301.703              
1300    430.022                 -302.389              
1400    434.735                 -303.116              
1500    439.214                 -303.899              
1600    443.479                 -304.752              
1700    447.547                 -305.690              
1800    451.435                 -306.724              
1900    455.155                 -307.859              
2000    458.722                 -309.097              
2100    462.147                 -310.435              
2200    465.441                 -311.866              
2300    468.612                 -313.377              
2400    471.669                 -314.955              
2500    474.620                 -316.583              
2600    477.472                 -318.243              
2700    480.231                 -319.918              
2800    482.902                 -615.492              
2900    485.492                 -616.052              
3000    488.005                 -616.580              
3100    490.445                 -617.063              
3200    492.816                 -617.490              
3300    495.122                 -617.852              
3400    497.367                 -618.142              
3500    499.553                 -618.353              
3600    501.683                 -618.483              
3700    503.761                 -618.528              
3800    505.789                 -618.486              
3900    507.769                 -618.356              
4000    509.703                 -618.139              
4100    511.593                 -617.836              
4200    513.441                 -617.448              
4300    515.250                 -616.977              
4400    517.020                 -616.426              
4500    518.754                 -615.794              
4600    520.452                 -615.090              
4700    522.117                 -614.314              
4800    523.749                 -613.469              
4900    525.350                 -612.558              
5000    526.921                 -611.587              
5100    528.462                 -610.557              
5200    529.976                 -609.473              
5300    531.463                 -608.337              
5400    532.924                 -607.154              
5500    534.359                 -605.926              
5600    535.770                 -604.658              
5700    537.158                 -603.352              
5800    538.524                 -602.009              
5900    539.867                 -600.637              
6000    541.189                 -599.215              
