T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     47.543                  0.                    
200     30.413                  0.                    
250     28.668                  0.                    
298.15  28.275                  0.                    
300     28.276                  0.                    
350     28.574                  0.                    
400     29.248                  0.                    
450     30.130                  0.                    
500     31.129                  0.                    
600     33.283                  0.                    
700     35.488                  0.                    
800     37.663                  0.                    
900     39.780                  0.                    
1000    41.834                  10.585                
1100    43.827                  -10.209               
1200    45.766                  -9.580                
