T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     184.197                 329.297               
200     166.528                 329.824               
250     164.907                 329.804               
298.15  164.553                 329.699               
300     164.554                 329.694               
350     164.813                 329.524               
400     165.388                 329.309               
450     166.130                 329.060               
500     166.957                 328.781               
600     168.708                 328.141               
700     170.460                 327.385               
800     172.147                 326.492               
900     173.751                 325.436               
1000    175.266                 313.605               
1100    176.695                 312.513               
1200    178.044                 311.420               
1300    179.319                 310.327               
1400    180.526                 309.233               
1500    181.672                 308.139               
1600    182.761                 307.045               
1700    183.798                 305.950               
1800    184.789                 304.856               
1900    185.736                 303.760               
2000    186.643                 302.665               
2100    187.513                 301.570               
2200    188.349                 300.475               
2300    189.153                 299.379               
2400    189.928                 298.284               
2500    190.676                 297.188               
2600    191.398                 296.092               
2700    192.097                 294.997               
2800    192.773                 0.                    
2900    193.428                 0.                    
3000    194.063                 0.                    
3100    194.680                 0.                    
3200    195.279                 0.                    
3300    195.861                 0.                    
3400    196.428                 0.                    
3500    196.980                 0.                    
3600    197.518                 0.                    
3700    198.042                 0.                    
3800    198.553                 0.                    
3900    199.053                 0.                    
4000    199.541                 0.                    
4100    200.017                 0.                    
4200    200.484                 0.                    
4300    200.940                 0.                    
4400    201.386                 0.                    
4500    201.823                 0.                    
4600    202.252                 0.                    
4700    202.672                 0.                    
4800    203.084                 0.                    
4900    203.488                 0.                    
5000    203.885                 0.                    
5100    204.274                 0.                    
5200    204.657                 0.                    
5300    205.033                 0.                    
5400    205.403                 0.                    
5500    205.766                 0.                    
5600    206.124                 0.                    
5700    206.476                 0.                    
5800    206.823                 0.                    
5900    207.165                 0.                    
6000    207.501                 0.                    
