T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  166.404                 1526.778              
300     166.404                 1526.817              
350     166.660                 1527.871              
400     167.232                 1528.936              
450     167.975                 1530.014              
500     168.810                 1531.104              
600     170.597                 1533.316              
700     172.407                 1535.563              
800     174.169                 1537.830              
900     175.856                 1540.106              
1000    177.459                 1542.385              
1100    178.978                 1544.660              
1200    180.416                 1546.928              
1300    181.778                 1549.187              
1400    183.070                 1551.437              
1500    184.296                 1553.677              
1600    185.462                 1555.907              
1700    186.573                 1558.128              
1800    187.633                 1560.340              
1900    188.646                 1562.543              
2000    189.616                 1564.739              
2100    190.545                 1566.927              
2200    191.437                 1569.109              
2300    192.295                 1571.284              
2400    193.121                 1573.454              
2500    193.917                 1575.618              
2600    194.684                 1577.778              
2700    195.426                 1579.933              
2800    196.143                 1582.083              
2900    196.837                 1584.230              
3000    197.510                 1586.374              
3100    198.162                 1588.513              
3200    198.795                 1590.650              
3300    199.410                 1592.784              
3400    200.008                 1594.915              
3500    200.589                 1597.044              
3600    201.155                 1599.171              
3700    201.706                 1601.295              
3800    202.244                 1603.417              
3900    202.768                 1605.537              
4000    203.280                 1607.656              
4100    203.779                 1609.773              
4200    204.267                 1611.888              
4300    204.744                 1614.002              
4400    205.211                 1616.114              
4500    205.667                 1618.225              
4600    206.114                 1620.335              
4700    206.552                 1622.443              
4800    206.981                 1624.551              
4900    207.401                 1626.657              
5000    207.813                 1628.763              
5100    208.217                 1630.867              
5200    208.613                 1632.971              
5300    209.002                 1635.074              
5400    209.384                 1637.176              
5500    209.759                 1639.277              
5600    210.128                 1641.377              
5700    210.490                 1643.477              
5800    210.847                 1645.576              
5900    211.197                 1647.675              
6000    211.541                 1649.772              
