T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     305.968                 -3.969                
200     193.426                 -17.619               
298.15  176.565                 -28.870               
300     176.569                 -29.048               
400     186.360                 36.197                
500     207.161                 -42.516               
600     232.030                 -48.223               
700     258.485                 -52.174               
800     285.418                 -54.694               
900     312.225                 -56.109               
1000    338.590                 -56.596               
1100    364.348                 -56.385               
1200    389.412                 -55.733               
1300    413.739                 -54.909               
1400    437.310                 -54.192               
1500    460.119                 -53.862               
