T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     259.874                 94.453                
200     231.161                 95.755                
250     228.368                 96.094                
298.15  227.744                 96.232                
300     227.745                 96.234                
350     228.218                 96.202                
400     229.289                 96.019                
450     230.698                 95.712                
500     232.303                 95.311                
600     235.790                 94.307                
700     239.391                 93.123                
800     242.960                 91.819                
900     246.432                 90.425                
1000    249.781                 88.957                
1100    252.997                 87.421                
1200    256.081                 85.822                
1300    259.036                 84.162                
1400    261.867                 82.441                
1500    264.583                 80.659                
1600    267.190                 78.815                
1700    269.694                 76.909                
1800    272.103                 74.939                
1900    274.422                 72.905                
2000    276.658                 70.807                
2100    278.815                 68.643                
2200    280.898                 66.413                
2300    282.913                 64.117                
2400    284.863                 -38.764               
2500    286.752                 -41.349               
2600    288.583                 -43.937               
2700    290.360                 -46.527               
2800    292.086                 -49.120               
2900    293.763                 -51.718               
3000    295.395                 -54.319               
3100    296.983                 -56.924               
3200    298.529                 -59.533               
3300    300.037                 -62.147               
3400    301.506                 -64.765               
3500    302.941                 -67.388               
3600    304.341                 -70.015               
3700    305.709                 -72.647               
3800    307.046                 -75.283               
3900    308.354                 -77.923               
4000    309.633                 -80.567               
4100    310.884                 -83.216               
4200    312.110                 -1045.567             
4300    313.311                 -1046.050             
4400    314.488                 -1046.541             
4500    315.641                 -1047.040             
4600    316.773                 -1047.548             
4700    317.883                 -1048.066             
4800    318.972                 -1048.595             
4900    320.042                 -1049.135             
5000    321.092                 -1049.687             
5100    322.124                 -1050.252             
5200    323.138                 -1050.832             
5300    324.135                 -1051.426             
5400    325.115                 -1052.037             
5500    326.080                 -1052.665             
5600    327.028                 -1053.312             
5700    327.961                 -1053.978             
5800    328.880                 -1054.665             
5900    329.784                 -1055.375             
6000    330.675                 -1056.108             
