T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  69.426                  51.885                
300     69.427                  51.885                
400     71.846                  52.016                
500     77.074                  52.113                
600     83.544                  52.045                
700     90.506                  51.765                
800     97.580                  51.285                
900     104.580                 50.656                
1000    111.414                 49.950                
1100    118.046                 49.220                
1200    124.463                 48.491                
1300    130.663                 47.781                
1400    136.653                 47.105                
1500    142.443                 46.475                
1600    148.043                 45.899                
1700    153.464                 45.384                
1800    158.719                 44.991                
1900    163.817                 44.544                
2000    168.764                 43.932                
2100    173.563                 43.161                
2200    178.221                 42.235                
2300    182.742                 41.156                
2400    187.133                 -161.109              
2500    191.399                 -162.796              
2600    195.547                 -164.498              
2700    199.581                 -166.215              
2800    203.507                 167.945               
2900    207.329                 -169.688              
3000    211.053                 -171.445              
3100    214.683                 -173.214              
3200    218.223                 -174.996              
3300    221.678                 -176.791              
3400    225.050                 -178.597              
3500    228.344                 -180.416              
3600    231.563                 -182.246              
3700    234.710                 -184.088              
3800    237.788                 -185.942              
3900    240.801                 -187.807              
4000    243.749                 -189.684              
4100    246.637                 -191.571              
4200    249.466                 -2112.868             
4300    252.239                 -2110.429             
4400    254.958                 -2108.008             
4500    257.624                 -2105.607             
