T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     334.297                 91.958                
200     282.800                 82.575                
250     276.853                 77.768                
298.15  275.410                 73.220                
300     275.412                 73.049                
350     276.630                 68.579                
400     279.557                 64.427                
450     283.639                 60.637                
500     288.531                 57.240                
600     299.884                 51.642                
700     312.455                 47.531                
800     325.622                 44.697                
900     339.020                 42.903                
1000    352.430                 41.923                
1100    365.715                 41.561                
1200    378.791                 41.653                
1300    391.605                 42.064                
1400    404.128                 42.688                
1500    416.344                 43.441                
1600    428.246                 44.258                
1700    439.834                 45.084                
1800    451.113                 45.882                
1900    462.088                 46.617                
2000    472.769                 47.264                
2100    483.165                 47.805                
2200    493.286                 48.222                
2300    503.143                 48.503                
2400    512.745                 -202.660              
2500    522.104                 -203.071              
2600    531.230                 -203.482              
2700    540.131                 -203.899              
2800    548.817                 -204.330              
2900    557.298                 -204.779              
3000    565.581                 -205.251              
3100    573.674                 -205.750              
3200    581.586                 -206.279              
3300    589.323                 -206.843              
3400    596.893                 -207.444              
3500    604.302                 -208.084              
3600    611.557                 -208.766              
3700    618.663                 -209.493              
3800    625.626                 -210.265              
3900    632.451                 -211.086              
4000    639.144                 -211.957              
4100    645.708                 -212.878              
4200    652.150                 -2613.099             
4300    658.473                 -2608.690             
4400    664.681                 -2604.344             
4500    670.778                 -2600.062             
4600    676.768                 -2595.847             
4700    682.655                 -2591.698             
4800    688.442                 -2587.617             
4900    694.132                 -2583.605             
5000    699.728                 -2579.661             
5100    705.234                 -2575.787             
5200    710.651                 -2571.983             
5300    715.984                 -2568.247             
5400    721.233                 -2564.579             
5500    726.403                 -2560.978             
5600    731.495                 -2557.444             
5700    736.511                 -2553.975             
5800    741.454                 -2550.569             
5900    746.325                 -2547.226             
6000    751.127                 -2543.942             
