T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
200     240.576                 -224.975              
298.15  228.865                 -238.488              
300     228.867                 -238.482              
400     233.889                 -278.762              
500     243.372                 -273.227              
600     253.990                 -267.984              
700     264.638                 -262.944              
800     274.917                 -258.053              
900     284.696                 -253.277              
1000    293.944                 -248.598              
