T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  266.251                 -146.440              
300     266.252                 -146.476              
350     266.828                 -147.476              
400     268.130                 -148.528              
450     269.842                 -149.627              
500     271.784                 -150.763              
600     275.979                 -153.123              
700     280.265                 -155.575              
800     284.464                 -158.100              
900     288.505                 -160.687              
1000    292.363                 -163.328              
1100    296.035                 -166.018              
1200    299.525                 -168.754              
1300    302.845                 -171.535              
1400    306.004                 -174.357              
1500    309.016                 -177.220              
1600    311.891                 -180.122              
1700    314.640                 -183.060              
1800    317.272                 -186.035              
1900    319.796                 -189.043              
2000    322.220                 -192.083              
2100    324.552                 -195.155              
2200    326.797                 -198.255              
2300    328.964                 -201.383              
2400    331.056                 -254.796              
2500    333.078                 -258.052              
2600    335.037                 -261.299              
2700    336.935                 -264.535              
2800    338.776                 -267.759              
2900    340.564                 -270.970              
3000    342.303                 -274.166              
3100    343.994                 -277.346              
3200    345.642                 -280.508              
3300    347.248                 -283.650              
3400    348.814                 -286.772              
3500    350.343                 -289.870              
3600    351.837                 -292.943              
3700    353.298                 -295.990              
3800    354.727                 -299.009              
3900    356.125                 -301.997              
4000    357.495                 -304.954              
4100    358.837                 -307.878              
4200    360.153                 -790.616              
4300    361.443                 -792.383              
4400    362.710                 -794.114              
4500    363.954                 -795.810              
4600    365.175                 -797.470              
4700    366.375                 -799.094              
4800    367.554                 -800.681              
4900    368.714                 -802.233              
5000    369.855                 -803.748              
5100    370.977                 -805.228              
5200    372.081                 -806.673              
5300    373.168                 -808.084              
5400    374.239                 -809.461              
5500    375.293                 -810.806              
5600    376.332                 -812.120              
5700    377.356                 -813.404              
5800    378.364                 -814.658              
5900    379.359                 -815.885              
6000    380.340                 -817.085              
