T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  225.148                 322.586               
300     225.149                 322.628               
350     225.697                 323.722               
400     226.938                 324.761               
450     228.573                 325.753               
500     230.435                 326.712               
600     234.476                 328.562               
700     238.636                 330.357               
800     242.741                 332.116               
900     246.718                 333.848               
1000    250.538                 335.553               
1100    254.193                 337.231               
1200    257.684                 338.880               
1300    261.019                 340.499               
1400    264.206                 342.084               
1500    267.254                 343.636               
1600    270.172                 345.152               
1700    272.970                 346.634               
1800    275.656                 348.080               
1900    278.236                 349.492               
2000    280.720                 350.873               
2100    283.113                 352.224               
2200    285.421                 353.548               
2300    287.649                 354.848               
2400    289.803                 305.868               
2500    291.888                 307.052               
2600    293.907                 308.255               
2700    295.864                 309.479               
2800    297.763                 310.727               
2900    299.607                 312.001               
3000    301.399                 313.303               
3100    303.142                 314.636               
3200    304.838                 316.001               
3300    306.490                 317.400               
3400    308.100                 318.833               
3500    309.671                 320.302               
3600    311.203                 321.808               
3700    312.699                 323.350               
3800    314.160                 324.928               
3900    315.589                 326.544               
4000    316.985                 328.198               
4100    318.352                 329.888               
4200    319.689                 -148.235              
4300    320.999                 -145.385              
4400    322.282                 -142.500              
4500    323.540                 -139.582              
4600    324.773                 -136.631              
4700    325.982                 -133.649              
4800    327.169                 -130.636              
4900    328.333                 -127.592              
5000    329.477                 -124.519              
5100    330.600                 -121.418              
5200    331.704                 -118.290              
5300    332.788                 -115.136              
5400    333.855                 -111.956              
5500    334.903                 -108.752              
5600    335.935                 -105.524              
5700    336.950                 -102.274              
5800    337.949                 -99.003               
5900    338.933                 -95.711               
6000    339.901                 -92.400               
