T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  123.357                 -934.123              
300     123.359                 -934.095              
400     127.504                 -932.208              
500     135.776                 -929.236              
600     145.896                 -925.847              
700     156.498                 921.754               
800     166.976                 -918.270              
900     177.090                 -914.457              
1000    186.750                 -910.729              
1100    195.938                 -915.454              
1200    204.664                 -912.123              
1300    212.953                 -908.769              
1400    220.833                 -905.411              
1500    228.334                 -902.068              
1600    235.486                 -898.759              
1700    242.315                 -895.502              
1800    248.846                 -892.316              
1900    255.102                 -889.219              
2000    261.104                 -886.231              
