T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     155.326                 -1210.169             
200     102.826                 -1209.912             
298.15  96.397                  -1208.758             
300     96.398                  -1208.734             
400     99.281                  -1207.548             
500     104.837                 -1207.007             
600     111.167                 -1207.165             
700     117.610                 -1206.400             
800     123.917                 -1205.980             
900     130.005                 -1204.877             
1000    135.864                 -1203.338             
1100    141.520                 -1209.444             
1200    147.030                 -1205.921             
1300    152.565                 -1198.136             
1400    158.091                 -1193.600             
1500    163.454                 -1187.676             
1600    168.687                 -1184.612             
1700    174.191                 -1158.652             
1800    179.735                 -1156.393             
1900    184.988                 -1154.174             
2000    189.978                 -1152.012             
2100    194.731                 -1149.925             
2200    199.268                 -1287.454             
2300    203.608                 -1284.736             
2400    207.767                 -1282.236             
2500    211.760                 -1279.952             
2600    215.599                 -1277.876             
2700    219.296                 -1275.994             
2800    222.862                 -1274.288             
2900    226.304                 -1272.736             
3000    229.631                 -1271.316             
3100    232.851                 -1270.001             
3200    235.971                 -1268.767             
3300    238.996                 -1267.581             
3400    241.932                 -1266.430             
3500    244.784                 -1265.291             
