T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     304.015                 -481.387              
200     269.710                 -481.461              
250     266.199                 -481.694              
298.15  265.396                 -481.997              
300     265.397                 -482.010              
350     266.024                 -482.377              
400     267.463                 -482.778              
450     269.381                 -483.201              
500     271.586                 -483.642              
600     276.434                 -484.564              
700     281.488                 -485.535              
800     286.527                 -486.560              
900     291.447                 -487.645              
1000    296.204                 -488.797              
1100    300.781                 -490.026              
1200    305.174                 -491.338              
1300    309.387                 -492.741              
1400    313.428                 -494.241              
1500    317.304                 -495.845              
1600    321.026                 -512.094              
1700    324.603                 -513.520              
1800    328.044                 -514.997              
1900    331.358                 -516.525              
2000    334.552                 -518.109              
2100    337.635                 -519.751              
2200    340.612                 -521.452              
2300    343.492                 -523.213              
2400    346.278                 -575.297              
2500    348.978                 -577.262              
2600    351.596                 -579.258              
2700    354.136                 -581.286              
2800    356.603                 -874.304              
2900    359.001                 -875.334              
3000    361.333                 -876.380              
3100    363.603                 -877.445              
3200    365.814                 -878.529              
3300    367.968                 -879.634              
3400    370.070                 -880.761              
3500    372.120                 -881.911              
3600    374.122                 -883.088              
3700    376.077                 -884.291              
3800    377.988                 -885.524              
3900    379.857                 -886.788              
4000    381.686                 -888.085              
4100    383.475                 -889.417              
4200    385.227                 -1370.635             
4300    386.944                 -1370.957             
4400    388.626                 -1371.321             
4500    390.275                 -1371.730             
4600    391.892                 -1372.188             
4700    393.479                 -1372.695             
4800    395.036                 -1373.255             
4900    396.565                 -1373.870             
5000    398.066                 -1374.542             
5100    399.541                 -1375.272             
5200    400.991                 -1376.064             
5300    402.416                 -1376.919             
5400    403.817                 -1377.840             
5500    405.195                 -1378.827             
5600    406.550                 -1379.883             
5700    407.884                 -1381.010             
5800    409.197                 -1382.209             
5900    410.490                 -1383.481             
6000    411.763                 -1384.829             
