T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     131.942                 -493.064              
200     88.261                  -492.228              
298.15  82.676                  -490.930              
300     82.677                  -490.903              
400     85.329                  -489.303              
500     90.566                  -487.453              
600     96.644                  -485.471              
700     102.896                 483.457               
800     109.042                 -481.471              
900     114.967                 -479.519              
1000    120.631                 -477.603              
1100    126.027                 -475.728              
1200    131.163                 -473.902              
1300    136.052                 -472.134              
1400    140.710                 -470.435              
1500    145.153                 -468.817              
