T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     90.253                  -1026.493             
200     57.702                  -1026.935             
298.15  53.354                  -1026.754             
300     53.355                  -1026.746             
400     55.522                  -1026.081             
500     59.971                  -1024.661             
600     65.302                  -1023.604             
700     70.720                  -1022.636             
800     76.051                  -1021.495             
900     81.727                  -1015.054             
1000    87.324                  -1013.032             
1100    92.683                  -1010.793             
1200    97.823                  -1008.342             
1300    102.763                 -1005.681             
1400    107.522                 -1002.814             
1500    112.115                 -999.744              
1600    116.558                 -1011.010             
1700    120.862                 -1007.139             
1800    125.041                 -1002.999             
1900    129.103                 -998.590              
2000    133.058                 -993.909              
