T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     199.331                 127.059               
200     175.842                 126.700               
250     173.610                 126.180               
298.15  173.115                 125.520               
300     173.115                 125.492               
350     173.490                 124.715               
400     174.338                 123.916               
450     175.460                 123.134               
500     176.747                 122.392               
600     179.585                 121.062               
700     182.577                 119.943               
800     185.601                 119.003               
900     188.599                 118.198               
1000    191.539                 117.482               
1100    194.405                 116.816               
1200    197.189                 116.167               
1300    199.887                 115.508               
1400    202.501                 114.817               
1500    205.030                 114.078               
1600    207.478                 98.740                
1700    209.847                 98.268                
1800    212.140                 97.786                
1900    214.362                 97.287                
2000    216.515                 96.769                
2100    218.603                 96.227                
2200    220.629                 95.659                
2300    222.596                 95.065                
2400    224.507                 94.441                
2500    226.365                 93.787                
2600    228.172                 93.102                
2700    229.931                 92.386                
2800    231.644                 -199.320              
2900    233.313                 -199.037              
3000    234.941                 -198.771              
3100    236.529                 -198.524              
3200    238.079                 -198.295              
3300    239.593                 -198.089              
3400    241.071                 -197.906              
3500    242.517                 -197.748              
3600    243.931                 -197.619              
3700    245.314                 -197.519              
3800    246.669                 -197.451              
3900    247.995                 -197.418              
4000    249.294                 -197.421              
4100    250.567                 -197.463              
4200    251.815                 -197.547              
4300    253.039                 -197.674              
4400    254.240                 -197.847              
4500    255.419                 -198.067              
4600    256.576                 -198.337              
4700    257.713                 -198.658              
4800    258.829                 -199.031              
4900    259.926                 -199.458              
5000    261.005                 -199.940              
5100    262.065                 -200.478              
5200    263.108                 -201.072              
5300    264.134                 -201.724              
5400    265.144                 -202.433              
5500    266.137                 -203.200              
5600    267.115                 -204.024              
5700    268.079                 -204.905              
5800    269.028                 -205.842              
5900    269.962                 -206.836              
6000    270.883                 -207.884              
