T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  196.597                 443.504               
300     196.598                 443.488               
350     196.955                 442.974               
400     197.750                 442.309               
450     198.782                 441.509               
500     199.943                 440.588               
600     202.428                 438.448               
700     204.954                 436.008               
800     207.426                 433.354               
900     209.809                 430.545               
1000    212.090                 427.619               
1100    214.268                 424.604               
1200    216.347                 421.518               
1300    218.331                 418.375               
1400    220.227                 415.187               
1500    222.041                 411.962               
1600    223.780                 408.707               
1700    225.448                 405.431               
1800    227.051                 402.137               
1900    228.594                 398.833               
2000    230.082                 395.522               
2100    231.518                 392.208               
2200    232.906                 388.894               
2300    234.249                 385.584               
2400    235.552                 382.279               
2500    236.815                 378.982               
2600    238.043                 375.692               
2700    239.237                 372.413               
2800    240.399                 369.142               
2900    241.531                 365.882               
3000    242.635                 362.630               
3100    243.712                 359.388               
3200    244.764                 356.153               
3300    245.793                 352.925               
3400    246.799                 349.703               
3500    247.783                 346.486               
3600    248.747                 343.272               
3700    249.691                 340.059               
3800    250.617                 336.848               
3900    251.525                 333.635               
4000    252.415                 330.420               
4100    253.289                 327.202               
4200    254.148                 323.978               
4300    254.991                 320.748               
4400    255.819                 317.510               
4500    256.633                 314.263               
4600    257.434                 311.006               
4700    258.221                 307.738               
4800    258.996                 304.457               
4900    259.758                 301.163               
5000    260.508                 297.854               
5100    261.246                 294.529               
5200    261.974                 291.189               
5300    262.690                 287.831               
5400    263.396                 284.456               
5500    264.091                 281.062               
5600    264.777                 277.649               
5700    265.452                 274.216               
5800    266.118                 270.762               
5900    266.775                 267.288               
6000    267.423                 263.793               
