T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     253.738                 -228.961              
200     226.124                 -231.453              
250     223.446                 -232.872              
298.15  222.843                 -234.304              
300     222.843                 -234.359              
350     223.312                 -235.843              
400     224.392                 -237.275              
450     225.846                 -238.629              
500     227.540                 -239.894              
600     231.350                 -242.139              
700     235.450                 -244.010              
800     239.663                 -245.533              
900     243.896                 -246.747              
1000    248.097                 -247.695              
1100    252.236                 -248.420              
1200    256.295                 -248.959              
1300    260.265                 -249.347              
1400    264.140                 -249.614              
1500    267.919                 -249.784              
1600    271.601                 -249.878              
1700    275.188                 -249.912              
1800    278.682                 -249.900              
1900    282.084                 -249.852              
2000    285.399                 -249.777              
2100    288.628                 -249.682              
2200    291.775                 -249.571              
2300    294.843                 -249.449              
2400    297.835                 -249.318              
2500    300.755                 -249.180              
2600    303.604                 -249.038              
2700    306.386                 -248.892              
2800    309.104                 -248.743              
2900    311.760                 -248.593              
3000    314.356                 -248.441              
3100    316.895                 -248.290              
3200    319.379                 -248.138              
3300    321.810                 -247.988              
3400    324.191                 -247.839              
3500    326.522                 -247.693              
3600    328.807                 -247.550              
3700    331.046                 -247.410              
3800    333.242                 -247.276              
3900    335.396                 -247.147              
4000    337.509                 -247.024              
4100    339.583                 -246.908              
4200    341.619                 -246.800              
4300    343.619                 -246.700              
4400    345.584                 -246.609              
4500    347.514                 -246.528              
4600    349.412                 -246.457              
4700    351.278                 -246.397              
4800    353.113                 -246.348              
4900    354.918                 -246.309              
5000    356.694                 -246.282              
5100    358.442                 -246.266              
5200    360.162                 -246.261              
5300    361.857                 -246.267              
5400    363.525                 -246.283              
5500    365.169                 -246.310              
5600    366.789                 -246.347              
5700    368.385                 -246.392              
5800    369.958                 -246.446              
5900    371.509                 -246.508              
6000    373.039                 -246.576              
