T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     253.322                 125.548               
200     226.465                 125.739               
250     223.913                 125.675               
298.15  223.348                 125.520               
300     223.349                 125.513               
350     223.774                 125.280               
400     224.732                 124.998               
450     225.990                 124.679               
500     227.421                 124.334               
600     230.528                 123.596               
700     233.738                 122.829               
800     236.923                 122.060               
900     240.029                 121.303               
1000    243.032                 120.564               
1100    245.926                 119.843               
1200    248.709                 119.136               
1300    251.385                 118.442               
1400    253.959                 117.757               
1500    256.436                 117.079               
1600    258.822                 116.408               
1700    261.122                 115.744               
1800    263.343                 115.088               
1900    265.488                 114.443               
2000    267.563                 113.811               
2100    269.573                 113.197               
2200    271.521                 112.604               
2300    273.411                 112.035               
2400    275.248                 111.494               
2500    277.033                 110.984               
2600    278.771                 110.509               
2700    280.465                 110.071               
2800    282.115                 109.672               
2900    283.726                 109.313               
3000    285.299                 108.995               
3100    286.836                 108.719               
3200    288.339                 108.485               
3300    289.810                 108.291               
3400    291.250                 108.138               
3500    292.660                 108.023               
3600    294.043                 107.945               
3700    295.398                 107.903               
3800    296.728                 107.894               
3900    298.034                 107.915               
4000    299.316                 107.965               
4100    300.574                 108.041               
4200    301.812                 108.140               
4300    303.028                 108.260               
4400    304.223                 108.399               
4500    305.399                 108.553               
4600    306.556                 108.721               
4700    307.694                 108.900               
4800    308.815                 109.087               
4900    309.918                 109.282               
5000    311.004                 109.481               
5100    312.074                 109.684               
5200    313.128                 109.887               
5300    314.167                 110.090               
5400    315.191                 110.291               
5500    316.200                 110.489               
5600    317.194                 110.683               
5700    318.175                 110.871               
5800    319.143                 111.052               
5900    320.097                 111.226               
6000    321.038                 111.392               
