T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     228.528                 433.242               
200     205.304                 434.371               
298.15  202.638                 435.136               
300     202.639                 435.147               
400     203.785                 435.592               
500     205.959                 435.760               
600     208.413                 435.719               
700     210.898                 435.528               
800     213.325                 435.233               
900     215.660                 434.862               
1000    217.894                 434.435               
1100    220.026                 433.965               
1200    222.060                 433.462               
1300    224.003                 432.933               
1400    225.860                 432.385               
1500    227.637                 431.823               
1600    229.341                 431.253               
1700    230.977                 430.680               
1800    232.550                 430.109               
1900    234.066                 429.544               
2000    235.527                 428.990               
2100    236.939                 428.451               
2200    238.305                 427.930               
2300    239.629                 427.429               
2400    240.912                 426.952               
2500    242.159                 426.499               
2600    243.371                 426.071               
2700    244.550                 425.670               
2800    245.699                 425.295               
2900    246.820                 424.945               
3000    247.913                 424.621               
3100    248.982                 424.321               
3200    250.026                 424.044               
3300    251.048                 423.788               
3400    252.048                 423.552               
3500    253.027                 423.333               
3600    253.986                 423.130               
3700    254.927                 422.941               
3800    255.850                 422.764               
3900    256.756                 422.597               
4000    257.645                 422.437               
4100    258.518                 422.284               
4200    259.376                 422.134               
4300    260.219                 421.987               
4400    261.048                 421.841               
4500    261.863                 421.694               
4600    262.664                 421.544               
4700    263.453                 421.391               
4800    264.229                 421.233               
4900    264.993                 421.068               
5000    265.746                 420.896               
5100    266.486                 420.716               
5200    267.216                 420.527               
5300    267.935                 420.327               
5400    268.644                 420.117               
5500    269.342                 419.896               
5600    270.030                 419.662               
5700    270.709                 419.415               
5800    271.378                 419.155               
5900    272.038                 418.881               
6000    272.689                 418.593               
