T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  240.648                 -441.412              
300     240.649                 -441.453              
350     241.100                 -442.570              
400     242.122                 -443.708              
450     243.470                 -444.867              
500     245.008                 -446.044              
600     248.363                 -448.445              
700     251.844                 -450.891              
800     255.307                 -453.371              
900     258.688                 -455.874              
1000    261.958                 -458.397              
1100    265.106                 -460.937              
1200    268.131                 -463.492              
1300    271.034                 -466.063              
1400    273.820                 -468.651              
1500    276.495                 -471.257              
1600    279.065                 -473.881              
1700    281.537                 -476.525              
1800    283.917                 -479.191              
1900    286.209                 -481.880              
2000    288.421                 -484.592              
2100    290.556                 -487.329              
2200    292.619                 -490.092              
2300    294.615                 -492.881              
2400    296.548                 -495.697              
2500    298.420                 -498.539              
2600    300.237                 -501.409              
2700    302.000                 -504.305              
2800    303.713                 -507.229              
2900    305.378                 -510.179              
3000    306.999                 -513.156              
3100    308.576                 -516.159              
3200    310.113                 -519.187              
3300    311.611                 -522.241              
3400    313.072                 -525.319              
3500    314.498                 -528.422              
3600    315.890                 -531.548              
3700    317.251                 -534.698              
3800    318.581                 -537.871              
3900    319.881                 -541.066              
4000    321.154                 -544.283              
4100    322.399                 -547.523              
4200    323.619                 -550.783              
4300    324.814                 -554.066              
4400    325.986                 -557.370              
4500    327.134                 -560.695              
4600    328.261                 -564.041              
4700    329.366                 -567.409              
4800    330.451                 -570.799              
4900    331.516                 -574.211              
5000    332.562                 -577.646              
5100    333.590                 -581.103              
5200    334.601                 -584.584              
5300    335.594                 -588.089              
5400    336.570                 -591.620              
5500    337.531                 -595.175              
5600    338.476                 -598.757              
5700    339.406                 -602.367              
5800    340.322                 -606.005              
5900    341.223                 -609.672              
6000    342.111                 -613.369              
