T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  154.662                 1809.435              
300     154.662                 1809.496              
350     154.918                 1811.112              
400     155.484                 1812.644              
450     156.215                 1814.099              
500     157.032                 1815.483              
600     158.765                 1818.067              
700     160.500                 1820.455              
800     162.175                 1822.695              
900     163.768                 1824.819              
1000    165.273                 1826.855              
1100    166.694                 1828.820              
1200    168.037                 1830.727              
1300    169.306                 1832.586              
1400    170.508                 1834.405              
1500    171.649                 1836.188              
1600    172.734                 1837.941              
1700    173.768                 1839.667              
1800    174.755                 1841.368              
1900    175.699                 1843.047              
2000    176.603                 1844.705              
2100    177.471                 1846.344              
2200    178.305                 1847.964              
2300    179.107                 1849.568              
2400    179.881                 1851.156              
2500    180.627                 1852.729              
2600    181.347                 1854.286              
2700    182.044                 1855.829              
2800    182.719                 1857.359              
2900    183.372                 1858.875              
3000    184.006                 1860.377              
3100    184.622                 1861.867              
3200    185.220                 1863.345              
3300    185.801                 1864.809              
3400    186.367                 1866.262              
3500    186.918                 1867.703              
3600    187.455                 1869.132              
3700    187.978                 1870.549              
3800    188.489                 1871.955              
3900    188.987                 1873.349              
4000    189.474                 1874.732              
4100    189.950                 1876.104              
4200    190.415                 1877.464              
4300    190.870                 1878.814              
4400    191.315                 1880.153              
4500    191.751                 1881.480              
4600    192.179                 1882.797              
4700    192.597                 1884.103              
4800    193.008                 1885.399              
4900    193.410                 1886.683              
5000    193.805                 1887.958              
5100    194.192                 1889.222              
5200    194.573                 1890.475              
5300    194.947                 1891.718              
5400    195.314                 1892.951              
5500    195.674                 1894.174              
5600    196.029                 1895.387              
5700    196.378                 1896.590              
5800    196.721                 1897.782              
5900    197.058                 1898.965              
6000    197.390                 1900.139              
