T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  129.704                 -683.247              
300     129.705                 -683.296              
400     132.691                 -712.744              
500     138.410                 -711.325              
600     144.887                 -709.990              
700     151.437                 -708.767              
800     157.813                 -708.463              
900     163.935                 -707.289              
1000    169.788                 -706.160              
1100    175.384                 705.045               
1200    180.745                 -711.624              
1300    185.893                 -709.177              
1400    190.853                 -706.346              
1500    195.644                 -703.129              
