T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     293.124                 -2.218                
200     264.634                 -3.508                
250     261.907                 -4.271                
298.15  261.306                 -5.045                
300     261.306                 -5.075                
350     261.753                 -5.948                
400     262.750                 -14.842               
450     264.040                 -16.366               
500     265.486                 -37.990               
600     268.560                 -39.078               
700     271.650                 -40.359               
800     274.638                 -42.692               
900     277.485                 -44.357               
1000    280.181                 -46.318               
1100    282.729                 -48.583               
1200    285.139                 -58.889               
1300    287.420                 -60.543               
1400    289.583                 -62.209               
1500    291.637                 -63.891               
1600    293.593                 -65.595               
1700    295.457                 -67.324               
1800    297.239                 -217.755              
1900    298.944                 -218.130              
2000    300.578                 -218.541              
2100    302.148                 -218.988              
2200    303.657                 -219.472              
2300    305.110                 -219.991              
2400    306.512                 -220.544              
2500    307.865                 -221.130              
2600    309.173                 -221.747              
2700    310.440                 -222.395              
2800    311.667                 -223.073              
2900    312.857                 -223.783              
3000    314.012                 -224.525              
3100    315.135                 -225.302              
3200    316.228                 -226.117              
3300    317.292                 -226.973              
3400    318.328                 -227.875              
3500    319.339                 -228.827              
3600    320.325                 -229.832              
3700    321.289                 -230.896              
3800    322.231                 -232.024              
3900    323.152                 -233.218              
4000    324.054                 -234.483              
4100    324.937                 -235.822              
4200    325.803                 -237.237              
4300    326.652                 -238.731              
4400    327.484                 -240.303              
4500    328.301                 -241.940              
4600    329.104                 -243.663              
4700    329.893                 -245.468              
4800    330.668                 -247.349              
4900    331.431                 -249.304              
5000    332.181                 -251.330              
5100    332.920                 -253.424              
5200    333.647                 -255.578              
5300    334.364                 -257.795              
5400    335.069                 -260.067              
5500    335.765                 -262.390              
5600    336.452                 -264.748              
5700    337.129                 -267.155              
5800    337.796                 -269.598              
5900    338.456                 -272.070              
6000    339.106                 -274.567              
