T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     63.525                  0.                    
200     43.924                  0.                    
298.15  41.588                  0.                    
300     41.589                  0.                    
400     42.615                  0.                    
500     44.590                  0.                    
600     46.861                  0.                    
700     49.210                  0.                    
800     51.681                  0.                    
900     54.097                  0.                    
1000    56.437                  0.                    
1100    58.714                  0.                    
1200    61.453                  0.                    
1300    64.085                  0.                    
1400    66.533                  0.                    
1500    68.822                  0.                    
1600    70.971                  0.                    
1700    72.995                  0.                    
1800    76.138                  0.                    
1900    82.279                  0.                    
2000    87.862                  0.                    
2100    92.963                  0.                    
2200    97.646                  0.                    
2300    101.963                 0.                    
2400    105.959                 0.                    
2500    109.672                 0.                    
2600    113.132                 0.                    
2700    116.368                 0.                    
2800    119.403                 0.                    
2900    122.257                 0.                    
3000    124.947                 0.                    
3100    127.490                 0.                    
3200    129.900                 0.                    
3300    132.187                 0.                    
3400    134.364                 0.                    
3500    136.440                 0.                    
3600    138.423                 0.                    
3700    140.321                 0.                    
3800    142.142                 0.                    
3900    143.891                 0.                    
4000    145.573                 0.                    
4100    147.195                 0.                    
4200    148.761                 0.                    
4300    150.275                 0.                    
4400    151.740                 0.                    
4500    153.161                 0.                    
4600    154.540                 0.                    
4700    155.880                 0.                    
4800    157.184                 0.                    
4900    158.454                 0.                    
5000    159.693                 0.                    
5200    162.084                 0.                    
5400    164.370                 0.                    
5600    166.562                 0.                    
5800    168.671                 0.                    
6000    170.705                 0.                    
