T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     350.003                 -94.519               
200     303.902                 -93.920               
250     299.478                 -93.778               
298.15  298.500                 -93.722               
300     298.501                 -93.720               
350     299.230                 -93.704               
400     300.855                 -93.738               
450     302.963                 -93.821               
500     305.329                 -93.947               
600     310.369                 -94.314               
700     315.448                 -94.808               
800     320.375                 -95.843               
900     325.083                 -96.596               
1000    329.555                 -97.550               
1100    333.793                 -98.746               
1200    337.812                 -100.223              
1300    341.625                 -102.135              
1400    345.247                 -104.615              
1500    348.696                 -106.081              
1600    351.983                 -107.295              
1700    355.121                 -108.414              
1800    358.124                 -125.807              
1900    361.000                 -127.196              
2000    363.759                 -128.597              
2100    366.410                 -130.011              
2200    368.960                 -131.438              
2300    371.417                 -132.882              
2400    373.786                 -134.342              
2500    376.074                 -135.820              
2600    378.285                 -137.316              
2700    380.425                 -138.832              
2800    382.498                 -140.367              
2900    384.507                 -141.923              
3000    386.457                 -143.497              
3100    388.351                 -145.090              
3200    390.192                 -521.514              
3300    391.982                 -521.715              
3400    393.725                 -521.932              
3500    395.423                 -522.165              
3600    397.078                 -522.413              
3700    398.692                 -522.674              
3800    400.268                 -522.949              
3900    401.806                 -523.234              
4000    403.309                 -523.529              
4100    404.778                 -523.832              
4200    406.216                 -524.143              
4300    407.622                 -524.458              
4400    408.999                 -524.778              
4500    410.347                 -525.100              
4600    411.669                 -525.424              
4700    412.964                 -525.748              
4800    414.235                 -526.072              
4900    415.481                 -526.394              
5000    416.704                 -526.714              
5100    417.905                 -527.032              
5200    419.084                 -527.346              
5300    420.243                 -527.658              
5400    421.381                 -527.966              
5500    422.500                 -528.271              
5600    423.601                 -528.573              
5700    424.683                 -528.873              
5800    425.748                 -529.170              
5900    426.796                 -529.422              
6000    427.828                 -529.706              
