T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     97.044                  -239.390              
200     58.385                  -239.458              
298.15  52.993                  -237.735              
300     52.994                  -237.706              
400     55.099                  -236.422              
500     59.052                  -235.342              
600     63.495                  -234.402              
700     67.966                  -233.625              
800     72.297                  -233.428              
900     76.428                  -232.970              
1000    80.349                  -232.709              
1100    84.068                  -232.656              
1200    87.598                  -232.827              
1300    90.957                  -233.353              
1400    94.160                  -234.348              
1500    97.224                  -234.217              
1600    100.163                 -233.707              
1700    102.987                 -232.966              
1800    105.709                 -248.354              
1900    108.337                 -247.588              
2000    110.881                 -246.676              
2100    113.347                 -245.615              
2200    115.743                 -244.401              
2300    118.074                 -243.033              
2400    120.344                 -241.508              
2500    122.560                 -239.825              
2600    124.724                 -237.981              
2700    126.841                 -235.975              
2800    128.914                 -233.806              
2900    130.946                 -231.473              
3000    132.940                 -228.974              
