T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  64.852                  -125.520              
300     64.853                  -125.511              
400     67.548                  -125.040              
500     72.841                  -124.190              
600     78.939                  -123.309              
700     85.195                  -122.371              
800     91.359                  -121.362              
900     97.336                  -120.304              
1000    103.094                 -119.244              
1100    108.629                 -118.236              
1200    113.949                 -117.311              
1300    119.066                 -116.500              
1400    123.994                 -115.828              
1500    128.749                 -115.305              
1600    133.345                 -114.942              
1700    137.793                 -114.746              
1800    142.106                 -114.722              
1900    146.294                 -114.912              
2000    150.366                 -115.306              
2100    154.329                 -115.907              
2200    158.192                 -155.386              
2300    161.961                 -152.693              
2400    165.643                 -149.771              
2500    169.242                 -146.617              
