T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     155.642                 -1133.096             
200     90.567                  -1135.576             
298.15  81.154                  -1134.701             
300     81.157                  -1134.645             
400     85.534                  -1133.129             
500     93.829                  -1131.353             
600     103.300                 -1129.610             
700     112.945                 -1127.958             
800     122.375                 -1126.413             
900     131.440                 -1125.007             
1000    140.091                 -1123.795             
1100    148.325                 -1122.829             
1200    156.159                 -1122.137             
1300    163.618                 -1121.754             
1400    170.729                 -1121.703             
1500    177.518                 -1121.999             
1600    184.011                 -1122.654             
1700    190.230                 -1123.676             
1800    196.199                 -1125.077             
1900    201.935                 -1126.833             
2000    207.459                 -1128.937             
2100    212.785                 -1131.423             
2200    217.928                 -1172.985             
2300    222.900                 -1172.557             
2400    227.714                 -1172.074             
2500    232.378                 -1171.534             
2600    236.903                 -1170.937             
2700    243.097                 -1039.325             
2800    249.109                 -1037.407             
2900    254.899                 -1035.520             
3000    260.484                 -1711.697             
3100    265.877                 -1708.210             
3200    271.092                 -1704.851             
3300    276.139                 -1701.615             
3400    281.029                 -1698.498             
3500    285.771                 -1695.500             
3600    290.374                 -1692.618             
3700    294.847                 -1689.852             
3800    299.196                 -1687.205             
3900    303.427                 -1684.678             
4000    307.548                 -1682.276             
4100    311.563                 -1680.003             
4200    315.478                 -1677.867             
4300    319.298                 -1675.874             
4400    323.027                 -1674.034             
4500    326.670                 -1672.356             
