T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  268.686                 441.379               
300     268.686                 441.398               
350     269.305                 439.830               
400     270.690                 440.394               
450     272.490                 440.985               
500     274.514                 441.590               
600     278.832                 442.816               
700     283.188                 444.044               
800     287.416                 445.268               
900     291.458                 446.489               
1000    295.297                 380.582               
1100    298.939                 382.829               
1200    302.395                 385.084               
1300    305.678                 387.348               
1400    308.802                 389.618               
1500    311.780                 391.892               
1600    314.625                 394.169               
1700    317.347                 396.442               
1800    319.956                 398.709               
1900    322.461                 400.964               
2000    324.869                 403.202               
2100    327.189                 405.417               
2200    329.425                 407.604               
2300    331.584                 409.755               
2400    333.671                 411.864               
2500    335.691                 413.926               
2600    337.648                 415.932               
2700    339.545                 417.877               
2800    341.386                 419.754               
2900    343.174                 421.555               
3000    344.913                 423.274               
3100    346.605                 424.904               
3200    348.252                 426.439               
3300    349.857                 427.911               
3400    351.421                 429.251               
3500    352.947                 430.480               
3600    354.437                 431.593               
3700    355.892                 432.598               
3800    357.315                 433.480               
3900    358.705                 434.249               
4000    360.065                 434.869               
4100    361.396                 435.356               
4200    362.700                 435.707               
4300    363.976                 435.922               
4400    365.228                 436.291               
4500    366.454                 436.840               
4600    367.657                 436.818               
4700    368.837                 436.682               
4800    369.996                 436.437               
4900    371.133                 436.084               
5000    372.250                 435.630               
5100    373.347                 435.078               
5200    374.426                 434.966               
5300    375.486                 434.302               
5400    376.528                 433.839               
5500    377.554                 433.215               
5600    378.563                 432.388               
5700    379.555                 431.504               
5800    380.533                 430.570               
5900    381.495                 429.591               
6000    382.442                 428.572               
