T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     110.635                 0.                    
200     87.892                  0.                    
298.15  85.147                  0.                    
300     85.148                  0.                    
400     88.110                  0.                    
500     91.506                  0.                    
600     94.817                  0.                    
700     97.923                  0.                    
800     100.808                 0.                    
900     103.482                 0.                    
1000    109.665                 0.                    
1100    118.037                 0.                    
1200    125.172                 0.                    
1300    131.342                 0.                    
1400    136.746                 0.                    
1500    141.528                 0.                    
1600    145.799                 0.                    
1700    149.645                 0.                    
1800    153.131                 0.                    
1900    156.313                 0.                    
2000    159.232                 0.                    
2100    161.924                 0.                    
2200    164.417                 0.                    
2300    166.737                 0.                    
2400    168.904                 0.                    
2500    170.935                 0.                    
2600    172.846                 0.                    
2700    174.648                 0.                    
2800    176.353                 0.                    
2900    177.971                 0.                    
3000    179.510                 0.                    
3100    180.978                 0.                    
3200    182.381                 0.                    
3300    183.725                 0.                    
3400    185.016                 0.                    
3500    186.258                 0.                    
3600    187.455                 0.                    
3700    188.610                 0.                    
3800    189.729                 0.                    
3900    190.812                 0.                    
4000    191.864                 0.                    
4100    192.887                 0.                    
4200    193.883                 0.                    
4300    194.854                 0.                    
4400    195.795                 0.                    
4500    196.706                 0.                    
4600    197.608                 0.                    
4700    198.491                 0.                    
4800    199.357                 0.                    
4900    200.206                 0.                    
5000    201.039                 0.                    
5100    201.857                 0.                    
5200    202.647                 0.                    
5300    203.436                 0.                    
5400    204.205                 0.                    
5500    204.964                 0.                    
5600    205.716                 0.                    
5700    206.456                 0.                    
5800    207.186                 0.                    
5900    207.905                 0.                    
6000    208.614                 0.                    
